Number of available PCIs (1 to 100),eNB: 10 (gNB: 60),eNB: 20 (gNB: 120),eNB: 30 (gNB: 180),eNB: 40 (gNB: 240),eNB: 50 (gNB: 300),eNB: 60 (gNB: 360),eNB: 70 (gNB: 420),eNB: 80 (gNB: 480),eNB: 90 (gNB: 540),eNB: 100 (gNB: 600)
75,14.81,51.79,83.05,79.18,91.53,96.46,93.65,98.19,99.53,99.86
76,12.94,52.94,78.5,79.99,92.12,95.99,97.68,98.94,99.8,99.53
77,13.46,59.32,79.57,84.65,92.87,95.84,95.97,99.32,98.53,99.39
78,14.7,59.01,81.45,83.27,91.35,94.8,96.21,98.35,99.09,99.98
79,13.24,53.09,77.23,84.2,89.36,97.03,98.65,96.92,99.13,99.84
80,14.1,62.03,74.2,80.52,88.97,95.03,95.72,98.78,99.71,100
81,14.14,53.59,74.47,87.86,90.29,96.48,94.25,98.35,98.96,99.28
82,13.14,62.41,80.8,86.06,89.04,95,97.1,98.3,98.33,98.6
83,12.82,54.4,72.9,78.81,93.8,93.08,96.7,98.45,99.16,100
84,12.92,59.95,78.81,80.61,87.53,94.07,96.38,97.69,99.97,99.51
85,11.95,54.78,76.65,80.11,92.34,96.48,98.1,99.08,99.54,99.89
86,14.67,64.07,82.66,85.57,92.09,94.12,96.81,98.34,99.3,99.72
87,14.31,47.44,81.45,83.96,89.78,97.4,96.57,99.04,99.92,99.43
88,12.01,65.17,80.56,78.57,91.36,94.57,97.39,99.11,100,99.88
89,14.67,62.26,75.3,86.96,92.82,95.09,97.74,99.05,99.03,99.75
90,13.43,65.11,72.78,82.17,92.61,96.58,97.68,99.42,99.65,99.67
91,14.01,65.78,77.59,79.99,93.34,96.77,94.97,98.06,98.88,99.38
92,12.7,54.29,77.39,82.66,92.75,96.79,97.63,98.04,98.36,100
93,13.99,64.53,79.88,78.77,90.81,96.38,98.75,97.71,98.79,98.93
94,12.04,59.24,76.67,81.67,93.95,95.88,98.98,98.44,99.2,99.87
95,15.74,57.02,74,76.34,89.15,99.31,96.55,99.44,98.77,99.23
96,14.27,59.58,82.25,80.25,91.23,96.47,95.89,97.94,98.79,100
97,14.73,59.74,79.12,84.48,91.42,94.57,96.58,98.11,98.89,99.91
98,13.08,55.13,75.25,78.39,86.72,94.13,94.55,98.56,99.05,99.45
99,13.52,61.11,79.22,81.36,94.85,95.74,97.14,98.64,99.81,100
100,14.64,62.88,81.89,80.58,92.5,95.87,97.37,97.74,99.71,100
