Number of available PCIs (1 to 100),gNB: 60 (eNB: 10),gNB: 120 (eNB: 20),gNB: 180 (eNB: 30),gNB: 240 (eNB: 40),gNB: 300 (eNB: 50),gNB: 360 (eNB: 60),gNB: 420 (eNB: 70),gNB: 480 (eNB: 80),gNB: 540 (eNB: 90),gNB: 600 (eNB: 100)
74,15.6,28.2,37.12,43.96,51.84,58.02,62.9,64.43,72.99,76.2
75,16.26,27,36.74,44.3,54.47,55.71,63.29,68.22,74.62,77.57
76,16.85,27.62,35.87,43.56,53.59,54.66,64.26,66.41,71.82,76.26
77,15.72,27.16,35.76,44.15,51.7,53.69,61.16,66.25,71.76,74.17
78,16.45,26.59,38.52,43.06,50.49,54.65,63.85,65.14,72.08,73.79
79,15.66,28.31,36.95,42.44,51.2,53.89,61.6,67.77,74.07,75.81
80,15.93,26.19,37.46,44.81,52.2,55.42,60.49,66.72,73.24,73.45
81,16.87,27.35,37.79,44.24,50.51,55.01,63.08,65.85,73.7,76.09
82,16.63,27.86,34.51,45.59,52.22,54.93,63.31,66.51,73.01,75.02
83,16.18,29.34,36.46,45.64,51.71,54.2,62.44,67.27,71.82,76.21
84,16.37,26.95,38.54,44.94,51.42,56.35,62.43,65.42,71.99,74.06
85,16.06,28.28,35.96,44.43,51.71,53.98,62.14,68.58,72.49,74.37
86,15.82,27.55,35.99,41.91,50.97,52.94,64.43,66.93,74.97,77.18
87,15.84,27.94,38.25,43.01,51.81,53.84,61.98,65.11,70.06,76.67
88,16.11,26.38,36.29,44.46,51.43,54.33,61.41,66.51,71.19,75.91
89,15.9,28.23,38.86,44.39,52.92,55.37,61.23,66.36,73.65,74.15
90,14.94,26,35.64,44.44,50.34,55.66,62.12,65.98,74.5,75.29
91,15.27,28.62,37.76,44.53,51.21,55.13,62.11,64.92,73.67,75.69
92,15.66,27.58,34.87,44.47,53.46,55.32,63.85,68.14,70.87,75.8
93,15.64,28.41,36.77,42.24,53.5,55.16,63.13,64.45,74.71,73.77
94,15.24,27.04,36.69,43.74,50.34,56.8,62.72,67.26,74.4,72.1
95,17.72,26.85,38.13,45.21,52.12,55.19,62.37,68.87,73.2,71.85
96,16.12,27.89,35.51,44.27,50.51,55.14,62.61,67.04,71.54,76.05
97,16.51,27.09,35.9,43.18,53.01,55.27,66.97,64.59,72.9,75.33
98,16.25,28.83,36.06,46.02,52.46,53.79,64.57,68.51,74.07,73.01
99,15.38,27.64,36.07,43.44,50.95,53.84,61.92,64.74,73.36,75.13
100,15.15,27.49,37.69,44.95,50.74,53.94,62.21,65.5,72.7,75.34
