Number of available PCIs (1 to 100),eNB: 10 (gNB: 60),eNB: 20 (gNB: 120),eNB: 30 (gNB: 180),eNB: 40 (gNB: 240),eNB: 50 (gNB: 300),eNB: 60 (gNB: 360),eNB: 70 (gNB: 420),eNB: 80 (gNB: 480),eNB: 90 (gNB: 540),eNB: 100 (gNB: 600)
1,100,100,100,100,100,100,100,100,100,100
2,100,100,100,100,100,100,100,100,100,100
3,10.77,57.87,72.73,84.53,94.73,95.63,98.12,99.34,99.95,100
4,4.27,10.68,17.43,25.19,31.73,43.71,52.62,57.49,63.67,71.16
5,2.68,5.09,7.8,9.28,10.76,11.89,12.9,14.33,14.3,15.66
6,2.08,3.93,4.78,5.87,6.36,7.13,7.77,8,8.5,8.99
7,1.74,3.24,3.67,4.51,4.62,5.45,5.51,5.71,6.18,6.76
8,1.75,2.55,3.18,3.42,4.03,4.4,4.56,4.78,4.96,5.21
9,1.42,2.16,2.46,2.98,3.5,3.75,3.97,4.08,4.29,4.41
10,1.38,1.95,2.5,2.82,3.23,3.27,3.42,3.59,3.78,3.69
11,1.16,1.95,2.17,2.4,2.65,2.93,3.06,3.4,3.3,3.45
12,0.98,1.69,2.28,2.29,2.61,2.8,2.88,3,3.24,3.22
13,1,1.65,1.91,2.2,2.45,2.52,2.71,2.71,2.79,3.1
14,0.93,1.58,1.94,2.05,2.11,2.44,2.36,2.65,2.73,2.74
15,0.92,1.49,1.81,1.9,2.06,2.31,2.36,2.5,2.48,2.7
16,0.92,1.25,1.54,1.76,2.15,2.13,2.3,2.34,2.53,2.39
17,0.91,1.22,1.58,1.69,1.95,2.04,2.19,2.34,2.36,2.37
18,0.71,1.22,1.43,1.75,1.81,1.91,2.15,2.21,2.27,2.25
19,0.61,1.26,1.36,1.56,1.72,1.84,1.98,2.11,2.24,2.28
20,0.66,1.17,1.36,1.42,1.64,1.82,1.98,2.17,1.87,2.24
21,0.66,1.07,1.52,1.51,1.61,1.72,1.76,1.96,2.01,2.16
22,0.67,1.06,1.34,1.6,1.59,1.7,1.76,1.84,1.95,2.12
23,0.74,0.95,1.31,1.51,1.4,1.54,1.73,1.88,1.97,1.91
