Number of available PCIs (1 to 100),gNB: 60 (eNB: 10),gNB: 120 (eNB: 20),gNB: 180 (eNB: 30),gNB: 240 (eNB: 40),gNB: 300 (eNB: 50),gNB: 360 (eNB: 60),gNB: 420 (eNB: 70),gNB: 480 (eNB: 80),gNB: 540 (eNB: 90),gNB: 600 (eNB: 100)
1,100,100,100,100,100,100,100,100,100,100
2,100,100,100,100,100,100,100,100,100,100
3,98.22,100,100,100,100,100,100,100,100,100
4,16.11,27.54,36.07,44.52,51,55.67,62.37,68.68,71.83,75.14
5,7.97,11.32,13.74,15.64,16.08,18.72,19.09,19.83,19.32,20.92
6,5.33,7.2,8.59,9.45,10.21,10.57,10.9,11.74,11.6,11.92
7,3.24,4.89,5.23,6.05,6.28,6.49,7.13,7.12,7.42,7.56
8,2.69,3.53,4.17,4.6,4.91,5.28,5.58,5.54,5.45,6.02
9,2.43,3.23,3.59,4.14,4.46,4.82,4.73,4.79,4.96,5.18
10,2.1,2.99,3.11,3.39,3.8,4.18,4.56,4.38,4.52,4.48
11,2.16,2.72,3,3.41,3.4,3.58,3.59,3.84,3.94,4.1
12,1.99,2.45,2.82,3.03,3.27,3.39,3.49,3.58,3.71,3.7
13,1.72,2.31,2.43,2.95,2.95,3.1,3.25,3.41,3.61,3.44
14,1.5,2.11,2.52,2.76,2.78,2.87,3.08,3.1,3.22,3.33
15,1.49,1.95,2.25,2.7,2.61,2.78,2.82,3.12,3.09,3.02
16,1.41,1.85,2.13,2.39,2.55,2.65,2.75,2.86,2.92,3.07
17,1.35,1.94,2.22,2.43,2.51,2.54,2.72,2.75,2.71,2.86
18,1.3,1.82,2.15,2.15,2.3,2.43,2.46,2.72,2.74,2.8
19,1.41,1.73,2.01,2.25,2.32,2.34,2.41,2.58,2.62,2.58
20,1.3,1.75,1.88,2.05,2.16,2.39,2.31,2.53,2.47,2.52
21,1.34,1.63,1.98,2.04,2.11,2.29,2.34,2.29,2.46,2.51
22,1.14,1.65,1.73,2.02,2.05,2.11,2.39,2.29,2.35,2.36
23,1.19,1.49,1.82,1.86,2.06,2.15,2.26,2.25,2.31,2.38
