Number of available PCIs (1 to 100),gNB: 60 (eNB: 10),gNB: 120 (eNB: 20),gNB: 180 (eNB: 30),gNB: 240 (eNB: 40),gNB: 300 (eNB: 50),gNB: 360 (eNB: 60),gNB: 420 (eNB: 70),gNB: 480 (eNB: 80),gNB: 540 (eNB: 90),gNB: 600 (eNB: 100)
78,0.99,1.46,1.55,2.79,2.09,6.93,5.12,9.14,4.09,12.18
79,1.11,2.45,4.63,4.69,2.92,4.97,5.04,12.9,3.26,10.21
80,1.19,1.44,2.57,3.78,3.79,7.09,9.06,6.1,10.01,9.26
81,1.15,1.33,2.57,3.71,3.91,6,7,10.1,11.02,11.15
82,2.07,2.4,2.63,3.76,3.95,4.98,10.94,6.16,9.08,9.14
83,1.07,2.36,3.55,3.7,1.97,3.97,6.98,10.08,11.05,13.04
84,1.07,1.36,5.41,3.78,2.84,4.96,8.03,8.1,7.94,10.15
85,1.03,1.47,2.5,5.65,4.81,8.95,5.99,7.07,5.11,12.97
86,2.1,2.48,3.54,2.74,2.81,3.87,8.95,7.03,6.09,12.08
87,1.07,2.33,2.59,3.57,3.84,4.89,8.86,8.01,5.08,6.33
88,1.06,3.22,1.57,4.75,2.75,6.88,6.86,9.98,6.99,9.09
89,0.93,1.36,2.52,2.72,2.85,5.81,8.99,8.08,5.1,14.82
90,0.97,2.28,1.54,2.67,3.73,5.91,10.77,6.01,6.09,8.17
91,1.02,1.41,3.48,2.62,5.74,5.91,3.09,7.92,11.09,8.19
92,0.99,1.33,3.53,4.73,2.77,1.97,4.02,5.99,7.08,7.15
93,1.06,2.38,1.54,2.65,4.61,3.69,5.89,5.03,7.03,7.94
94,1.01,3.27,2.46,1.63,1.75,2.84,2.87,6.9,4.1,7.93
95,1.06,1.31,1.46,1.61,1.61,2.81,5.89,9.84,5.95,8.08
96,1.08,1.4,1.51,2.61,1.67,3.85,2.89,10.82,4.97,9.11
97,1.02,1.4,1.47,2.6,4.85,4.73,5.84,9.74,9.87,9.09
98,1.07,1.14,3.37,3.63,3.64,5.67,6.81,5.9,13.9,5.93
99,0.95,1.35,3.4,2.63,3.58,5.72,5.85,7.93,2.96,9.99
100,0.98,1.26,2.42,3.54,2.63,7.7,3.91,5.99,4.93,6.85
