1/10,1.197164713,1.848063681,1.97460288
1/5,1.269917549,1.915995501,2.127418636
1,1.330537052,2.035952052,2.330664317
5,1.400506867,2.089861767,2.68215881
10,1.62877762,2.200945784,2.766438103
20,2.186815267,2.473265837,2.910624023
