Time,UEId,PosX,PosY,VelX,VelY,Direction,SourceBsId,SourceDis,SourceSinr,SourceRsrp,TargetBsId,TargetDis,TargetSinr,TargetRsrp,TTT,HOM
1,30,2506.46,2493.73,2.15176,-2.09043,-0.770942,12,9.13061,60.1725,-29.2674,17,825.562,-70.7881,-96.1657,3,5
2,30,2512.43,2494.3,2.98658,0.283424,0.0946156,12,14.2287,56.2064,-33.191,17,819.585,-63.054,-97.9976,3,5
3,30,2518.4,2494.86,2.98658,0.283424,0.0946156,12,19.8379,50.4341,-39.1486,17,813.609,-55.9668,-95.8439,3,5
4,30,2524.37,2495.43,2.98658,0.283424,0.0946156,12,25.6248,49.1854,-40.592,17,807.633,-52.1777,-97.6815,3,5
5,30,2530.35,2496,2.98658,0.283424,0.0946156,12,31.4915,44.3456,-45.1998,17,801.658,-51.1033,-97.643,3,5
6,30,2536.32,2496.56,2.98658,0.283424,0.0946156,12,37.4006,45.1318,-45.1342,17,795.683,-49.2596,-97.3128,3,5
7,30,2532.98,2501.55,-1.67075,2.4917,2.16147,12,34.0749,45.1584,-44.74,17,799.024,-50.6446,-96.8519,3,5
8,30,2529.64,2506.53,-1.67075,2.4917,2.16147,12,31.5498,41.3507,-48.0748,17,802.397,-53.6517,-97.6907,3,5
9,30,2526.3,2511.51,-1.67075,2.4917,2.16147,12,30.0281,43.3719,-46.0119,17,805.801,-51.4234,-97.958,3,5
10,30,2522.96,2516.5,-1.67075,2.4917,2.16147,12,29.6644,42.7784,-46.9523,17,809.234,-52.3817,-97.1758,3,5
11,30,2519.61,2521.48,-1.67075,2.4917,2.16147,12,30.5003,41.374,-47.8138,13,810.782,-52.7637,-97.7608,3,5
12,30,2525.11,2519.07,2.7474,-1.20491,-0.413304,12,32.9311,43.5005,-46.1466,17,807.141,-50.556,-99.0509,3,5
13,30,2530.6,2516.66,2.7474,-1.20491,-0.413304,12,36.2029,45.0449,-44.5406,17,801.591,-50.9614,-99.4456,3,5
14,30,2536.1,2514.25,2.7474,-1.20491,-0.413304,12,40.1103,37.3074,-52.2208,17,796.048,-47.9396,-98.3469,3,5
15,30,2541.59,2511.84,2.7474,-1.20491,-0.413304,12,44.4863,35.6024,-54.4188,17,790.512,-44.5751,-95.5656,3,5
16,30,2547.09,2509.43,2.7474,-1.20491,-0.413304,12,49.2059,35.9432,-54.2149,17,784.982,-44.3556,-96.6274,3,5
17,30,2552.18,2512.6,2.54765,1.58413,0.556296,12,54.894,37.0401,-52.6212,17,779.936,-41.6312,-96.3031,3,5
18,30,2557.28,2515.77,2.54765,1.58413,0.556296,12,60.6423,31.8261,-58.0896,17,774.903,-39.6141,-96.639,3,5
19,30,2562.37,2518.94,2.54765,1.58413,0.556296,12,66.4351,33.8881,-56.7493,17,769.885,-40.2152,-96.2432,3,5
20,30,2567.47,2522.1,2.54765,1.58413,0.556296,12,72.2618,32.1506,-58.3591,17,764.88,-36.8963,-97.1467,3,5
21,30,2572.56,2525.27,2.54765,1.58413,0.556296,12,78.1147,28.0241,-61.207,17,759.89,-34.3768,-95.4842,3,5
22,30,2567.64,2528.7,-2.46296,1.71284,2.53393,12,74.7874,32.3073,-57.4064,17,764.939,-32.5644,-95.4703,3,5
23,30,2562.71,2532.12,-2.46296,1.71284,2.53393,12,71.8082,29.8877,-59.4332,17,770.001,-36.6678,-96.4266,3,5
24,30,2557.79,2535.55,-2.46296,1.71284,2.53393,12,69.222,31.4261,-57.8319,17,775.076,-35.3945,-94.2127,3,5
25,30,2552.86,2538.97,-2.46296,1.71284,2.53393,12,67.0741,32.6222,-57.4996,17,780.164,-40.4564,-97.2046,3,5
26,30,2547.93,2542.4,-2.46296,1.71284,2.53393,12,65.4079,31.4557,-58.4641,17,785.266,-38.6021,-97.9105,3,5
27,30,2548.75,2548.34,0.408402,2.97207,1.43424,12,70.0721,30.853,-57.8002,17,784.802,-40.4292,-98.9753,3,5
28,30,2549.57,2554.29,0.408402,2.97207,1.43424,12,74.9266,30.2945,-58.9403,13,779.353,-39.9457,-98.7052,3,5
29,30,2550.38,2560.23,0.408402,2.97207,1.43424,12,79.9368,29.3718,-61.081,13,773.476,-34.2701,-95.3107,3,5
30,30,2551.2,2566.18,0.408402,2.97207,1.43424,12,85.0752,27.244,-61.8639,13,767.6,-34.0061,-96.711,3,5
31,30,2552.02,2572.12,0.408402,2.97207,1.43424,12,90.3199,24.6833,-64.6101,13,761.726,-35.3237,-96.2731,3,5
32,30,2556.59,2576.01,2.28503,1.94387,0.704899,12,96.1605,28.5405,-61.2832,13,758.181,-30.2486,-94.4874,3,5
33,30,2561.16,2579.9,2.28503,1.94387,0.704899,12,102.02,24.7082,-64.5577,13,754.667,-32.9324,-95.1793,3,5
34,30,2565.73,2583.78,2.28503,1.94387,0.704899,12,107.894,24.6601,-64.9998,13,751.185,-28.3305,-94.439,3,5
35,30,2570.3,2587.67,2.28503,1.94387,0.704899,12,113.782,22.5985,-67.3036,13,747.735,-30.1395,-97.7278,3,5
36,30,2574.87,2591.56,2.28503,1.94387,0.704899,12,119.681,22.1819,-67.5874,13,744.317,-27.2514,-93.949,3,5
37,30,2575.73,2585.62,0.432059,-2.96872,-1.42627,12,115.721,21.6101,-67.341,13,750.311,-29.4324,-97.9018,3,5
38,30,2576.6,2579.69,0.432059,-2.96872,-1.42627,12,111.944,24.1516,-65.8723,13,756.306,-29.9276,-95.3455,3,5
39,30,2577.46,2573.75,0.432059,-2.96872,-1.42627,12,108.367,25.9113,-63.5995,17,758.232,-33.6542,-98.0081,3,5
40,30,2578.33,2567.81,0.432059,-2.96872,-1.42627,12,105.011,23.3561,-65.6514,17,756.809,-30.4004,-96.4939,3,5
41,30,2579.19,2561.87,0.432059,-2.96872,-1.42627,12,101.899,23.7143,-66.1223,17,755.432,-29.2594,-94.3274,3,5
42,30,2574.06,2564.98,-2.56653,1.55337,2.59733,12,99.9338,25.5128,-64.6439,17,760.81,-30.7534,-95.7402,3,5
43,30,2568.92,2568.09,-2.56653,1.55337,2.59733,12,98.2964,26.9203,-62.0819,17,766.198,-34.1544,-98.0129,3,5
44,30,2563.79,2571.19,-2.56653,1.55337,2.59733,12,97.0031,23.5022,-65.0844,13,763.561,-32.1339,-95.9355,3,5
45,30,2558.66,2574.3,-2.56653,1.55337,2.59733,12,96.0679,24.4255,-64.2521,13,760.045,-33.4343,-96.2114,3,5
46,30,2553.52,2577.41,-2.56653,1.55337,2.59733,12,95.5011,26.5294,-63.214,13,756.561,-33.8827,-95.8135,3,5
47,30,2558.89,2580.09,2.683,1.3422,0.463857,12,100.81,25.1809,-64.8651,13,754.29,-34.0528,-97.5446,3,5
48,30,2564.26,2582.78,2.683,1.3422,0.463857,12,106.192,23.1867,-65.4359,13,752.061,-29.9169,-95.0317,3,5
49,30,2569.62,2585.46,2.683,1.3422,0.463857,12,111.637,26.0676,-64.088,13,749.873,-26.9277,-93.3458,3,5
50,30,2574.99,2588.14,2.683,1.3422,0.463857,12,117.136,24.5753,-64.3487,13,747.727,-30.0524,-97.4493,3,5
51,30,2580.35,2590.83,2.683,1.3422,0.463857,12,122.682,23.711,-66.3273,13,745.623,-27.8144,-97.5663,3,5
52,30,2578.98,2584.99,-0.687101,-2.92026,-1.80188,12,117.434,23.5534,-65.7971,13,751.281,-29.3403,-96.8486,3,5
53,30,2577.61,2579.15,-0.687101,-2.92026,-1.80188,12,112.261,19.0176,-70.4357,13,756.945,-33.8996,-97.2764,3,5
54,30,2576.23,2573.31,-0.687101,-2.92026,-1.80188,12,107.174,25.5333,-64.0379,17,759.413,-32.5533,-96.531,3,5
55,30,2574.86,2567.47,-0.687101,-2.92026,-1.80188,12,102.186,23.844,-65.0754,17,760.232,-33.6342,-98.1671,3,5
56,30,2573.48,2561.63,-0.687101,-2.92026,-1.80188,12,97.3126,25.4318,-63.6817,17,761.098,-31.2004,-94.975,3,5
57,30,2567.77,2563.45,-2.85763,0.913219,2.83228,12,94.2504,24.3816,-65.5546,17,766.945,-37.3038,-98.222,3,5
58,30,2562.05,2565.28,-2.85763,0.913219,2.83228,12,91.4796,26.7401,-63.4719,13,769.309,-35.158,-97.3462,3,5
59,30,2556.34,2567.11,-2.85763,0.913219,2.83228,12,89.0275,26.8614,-63.1244,13,767.041,-34.8938,-96.4152,3,5
60,30,2550.62,2568.93,-2.85763,0.913219,2.83228,12,86.9212,29.3506,-61.1018,13,764.812,-36.193,-97.5023,3,5
61,30,2544.91,2570.76,-2.85763,0.913219,2.83228,12,85.1861,27.7239,-61.5201,13,762.625,-35.1264,-96.815,3,5
62,30,2547.45,2576.19,1.27131,2.71731,1.13319,12,91.1377,26.4449,-63.1895,13,757.359,-32.4561,-96.8433,3,5
