Time,UEId,PosX,PosY,VelX,VelY,Direction,SourceBsId,SourceDis,SourceSinr,SourceRsrp,TargetBsId,TargetDis,TargetSinr,TargetRsrp,TTT,HOM
1,28,2497.97,2502.21,-0.676805,0.736162,2.31421,12,3.36989,80.0094,-9.53169,13,829.792,-87.7961,-98.1279,2,3
2,28,2497.37,2500.3,-0.298308,-0.95447,-1.87372,12,2.08232,86.1734,-2.70494,7,831.374,-93.588,-95.9339,2,3
3,28,2496.78,2498.39,-0.298308,-0.95447,-1.87372,12,2.30564,86.6242,-2.97243,7,830.777,-91.9735,-97.1787,2,3
4,28,2496.18,2496.48,-0.298308,-0.95447,-1.87372,12,3.78099,74.6678,-14.5274,7,830.184,-86.8676,-98.4542,2,3
5,28,2495.58,2494.57,-0.298308,-0.95447,-1.87372,12,5.59248,76.4709,-12.4788,11,828.58,-78.9685,-99.1366,2,3
6,28,2494.99,2492.66,-0.298308,-0.95447,-1.87372,12,7.50038,63.9863,-24.3534,11,826.674,-74.4229,-96.193,2,3
7,28,2495.26,2494.65,0.136023,0.990706,1.43435,12,5.74131,71.2136,-18.8098,11,828.654,-78.1146,-97.0069,2,3
8,28,2495.53,2496.63,0.136023,0.990706,1.43435,12,4.20353,76.6987,-12.4369,7,829.534,-83.1123,-96.8988,2,3
9,28,2495.8,2498.61,0.136023,0.990706,1.43435,12,3.22129,78.7415,-10.73,7,829.803,-89.8715,-99.41,2,3
10,28,2496.07,2500.59,0.136023,0.990706,1.43435,12,3.32922,82.231,-7.69757,7,830.076,-87.8292,-97.9311,2,3
11,28,2496.35,2502.57,0.136023,0.990706,1.43435,12,4.44867,74.5015,-14.2548,13,829.433,-83.3145,-98.0741,2,3
12,28,2497.34,2504.31,0.497216,0.867627,1.05041,12,5.55935,70.5003,-19.8586,13,827.696,-75.3961,-95.5261,2,3
13,28,2498.34,2506.04,0.497216,0.867627,1.05041,12,7.07263,66.7418,-22.8913,13,825.959,-75.3308,-97.2743,2,3
14,28,2499.33,2507.78,0.497216,0.867627,1.05041,12,8.78281,64.4066,-25.9755,13,824.223,-72.8207,-98.1923,2,3
15,28,2500.32,2509.51,0.497216,0.867627,1.05041,12,10.595,64.6496,-25.1007,13,822.489,-66.8036,-96.3988,2,3
16,28,2501.32,2511.25,0.497216,0.867627,1.05041,12,12.4647,61.1688,-29.5883,13,820.756,-66.152,-96.8411,2,3
17,28,2499.36,2511.67,-0.977117,0.212703,2.92725,12,12.6778,56.6876,-32.907,13,820.328,-67.4874,-98.8712,2,3
18,28,2497.41,2512.1,-0.977117,0.212703,2.92725,12,13.194,59.7442,-29.9533,13,819.904,-67.3246,-99.6106,2,3
19,28,2495.46,2512.52,-0.977117,0.212703,2.92725,12,13.98,55.3647,-33.9614,13,819.484,-65.0489,-98.6069,2,3
20,28,2493.5,2512.95,-0.977117,0.212703,2.92725,12,14.9932,55.8089,-33.847,13,819.07,-62.9765,-99.4483,2,3
21,28,2491.55,2513.37,-0.977117,0.212703,2.92725,12,16.1911,55.6843,-34.437,13,818.66,-64.914,-99.3569,2,3
22,28,2490.03,2514.68,-0.758597,0.65156,2.43195,12,18.0618,50.2293,-39.36,13,817.372,-60.0559,-97.8124,2,3
23,28,2488.51,2515.98,-0.758597,0.65156,2.43195,12,19.9575,53.0573,-36.8314,13,816.087,-56.8823,-96.4004,2,3
24,28,2487,2517.28,-0.758597,0.65156,2.43195,12,21.8719,49.0251,-40.7378,13,814.805,-58.9648,-98.2348,2,3
25,28,2485.48,2518.59,-0.758597,0.65156,2.43195,12,23.8003,48.7732,-40.5463,13,813.526,-58.7066,-98.4921,2,3
26,28,2483.96,2519.89,-0.758597,0.65156,2.43195,12,25.7397,46.7095,-42.3637,13,812.249,-53.6532,-98.0247,2,3
27,28,2482.35,2521.07,-0.807352,0.59007,2.51045,12,27.6478,47.4138,-42.096,13,811.101,-56.2849,-97.4423,2,3
28,28,2480.73,2522.25,-0.807352,0.59007,2.51045,12,29.5681,42.8294,-45.9693,13,809.956,-53.7917,-99.8581,2,3
29,28,2479.12,2523.43,-0.807352,0.59007,2.51045,12,31.4983,43.0796,-46.9633,13,808.814,-53.0859,-98.258,2,3
30,28,2477.5,2524.61,-0.807352,0.59007,2.51045,12,33.4367,42.5833,-46.7427,13,807.676,-49.3794,-96.5346,2,3
31,28,2475.89,2525.79,-0.807352,0.59007,2.51045,12,35.3819,43.684,-46.2,13,806.541,-49.8631,-98.999,2,3
32,28,2477.36,2524.44,0.736265,-0.676693,-0.743262,12,33.3961,42.4299,-47.4486,13,807.853,-51.5116,-97.3602,2,3
33,28,2478.83,2523.08,0.736265,-0.676693,-0.743262,12,31.4121,41.4735,-47.4265,13,809.168,-53.6189,-98.7552,2,3
34,28,2480.31,2521.73,0.736265,-0.676693,-0.743262,12,29.4302,46.5309,-43.2814,13,810.485,-50.1023,-96.0885,2,3
35,28,2481.78,2520.38,0.736265,-0.676693,-0.743262,12,27.451,46.5827,-42.8358,13,811.806,-53.1826,-98.2204,2,3
36,28,2483.25,2519.02,0.736265,-0.676693,-0.743262,12,25.475,48.217,-41.5283,13,813.129,-56.4951,-98.9362,2,3
37,28,2482.72,2517.09,-0.262963,-0.964806,-1.83689,12,24.3365,47.9849,-41.4946,13,815.069,-51.6676,-96.2595,2,3
38,28,2482.2,2515.16,-0.262963,-0.964806,-1.83689,12,23.3143,48.5352,-41.0538,7,816.359,-53.402,-97.1607,2,3
39,28,2481.67,2513.23,-0.262963,-0.964806,-1.83689,12,22.4242,49.7839,-39.7386,7,815.797,-54.2741,-95.0162,2,3
40,28,2481.15,2511.31,-0.262963,-0.964806,-1.83689,12,21.6827,48.2922,-41.1458,7,815.24,-59.3479,-98.7677,2,3
41,28,2480.62,2509.38,-0.262963,-0.964806,-1.83689,12,21.1052,50.8581,-38.9893,7,814.687,-62.7375,-99.8622,2,3
42,28,2479.13,2510.71,-0.744553,0.667564,2.41066,12,23.0623,50.938,-38.3274,7,813.216,-56.1286,-97.7088,2,3
43,28,2477.64,2512.05,-0.744553,0.667564,2.41066,12,25.0262,47.2816,-41.9368,7,811.748,-55.0402,-97.6572,2,3
44,28,2476.15,2513.38,-0.744553,0.667564,2.41066,12,26.9954,47.442,-42.6934,7,810.282,-53.2292,-96.9755,2,3
45,28,2474.66,2514.72,-0.744553,0.667564,2.41066,12,28.9688,46.2624,-43.5636,7,808.818,-54.5032,-99.1597,2,3
46,28,2473.18,2516.05,-0.744553,0.667564,2.41066,12,30.9456,46.1982,-43.6558,7,807.356,-53.4253,-98.4577,2,3
47,28,2472.06,2517.71,-0.558459,0.829532,2.16332,12,32.8009,41.592,-48.1647,7,806.276,-48.6799,-94.3312,2,3
48,28,2470.94,2519.37,-0.558459,0.829532,2.16332,12,34.6722,42.0572,-47.965,7,805.2,-52.0988,-98.6923,2,3
49,28,2469.82,2521.03,-0.558459,0.829532,2.16332,12,36.5572,41.9125,-48.1378,7,804.127,-51.5955,-98.3232,2,3
50,28,2468.71,2522.69,-0.558459,0.829532,2.16332,12,38.4538,38.3259,-51.1252,7,803.057,-49.6545,-97.8283,2,3
51,28,2467.59,2524.35,-0.558459,0.829532,2.16332,12,40.3603,38.0154,-51.2334,7,801.992,-52.3195,-101.281,2,3
52,28,2466.48,2522.68,-0.555547,-0.831485,-2.15982,12,40.23,41.1064,-49.0295,7,800.83,-45.1053,-96.9323,2,3
53,28,2465.37,2521.02,-0.555547,-0.831485,-2.15982,12,40.1989,39.797,-49.4197,7,799.672,-45.2661,-94.7943,2,3
54,28,2464.26,2519.36,-0.555547,-0.831485,-2.15982,12,40.2672,39.3046,-51.0368,7,798.517,-45.2168,-95.4592,2,3
55,28,2463.15,2517.69,-0.555547,-0.831485,-2.15982,12,40.4344,40.9636,-49.4731,7,797.366,-46.2716,-94.8526,2,3
56,28,2462.04,2516.03,-0.555547,-0.831485,-2.15982,12,40.6993,36.3375,-53.5141,7,796.218,-48.0833,-99.4454,2,3
57,28,2462.99,2517.79,0.477079,0.878861,1.07347,12,40.6174,41.1237,-48.724,7,797.211,-47.4555,-97.0547,2,3
58,28,2463.94,2519.55,0.477079,0.878861,1.07347,12,40.6338,39.832,-50.1127,7,798.208,-45.7152,-97.1225,2,3
59,28,2464.9,2521.3,0.477079,0.878861,1.07347,12,40.7485,39.9295,-50.192,7,799.209,-47.3444,-97.9103,2,3
60,28,2465.85,2523.06,0.477079,0.878861,1.07347,12,40.9606,39.8036,-49.7217,7,800.214,-49.8006,-100.228,2,3
61,28,2466.81,2524.82,0.477079,0.878861,1.07347,12,41.2687,38.9621,-51.215,7,801.223,-50.411,-98.1098,2,3
