Time,UEId,PosX,PosY,VelX,VelY,Direction,SourceBsId,SourceDis,SourceSinr,SourceRsrp,TargetBsId,TargetDis,TargetSinr,TargetRsrp,TTT,HOM
1,31,2498.02,2497.75,-0.661265,-0.750152,-2.2933,12,1.59107,91.4468,2.34926,11,831.75,-99.423,-97.6396,2,3
2,31,2496.4,2498.93,-0.806264,0.591555,2.50861,12,2.5972,81.2578,-8.69965,7,830.404,-91.173,-97.9248,2,3
3,31,2494.79,2500.12,-0.806264,0.591555,2.50861,12,4.35424,72.9,-15.8997,7,828.792,-82.7615,-97.3087,2,3
4,31,2493.18,2501.3,-0.806264,0.591555,2.50861,12,6.25886,69.1016,-19.9895,7,827.182,-81.051,-100.289,2,3
5,31,2491.57,2502.48,-0.806264,0.591555,2.50861,12,8.20897,67.9683,-22.6766,7,825.573,-75.3905,-99.1709,2,3
6,31,2489.95,2503.67,-0.806264,0.591555,2.50861,12,10.1785,62.6345,-27.7311,7,823.967,-67.1395,-96.032,2,3
7,31,2487.98,2503.98,-0.987512,0.157542,2.98339,12,12.0944,63.1382,-27.0276,7,821.994,-66.9541,-98.0589,2,3
8,31,2486,2504.3,-0.987512,0.157542,2.98339,12,14.0338,55.2894,-34.1957,7,820.021,-66.7496,-98.1497,2,3
9,31,2484.03,2504.61,-0.987512,0.157542,2.98339,12,15.9882,52.9298,-35.8023,7,818.048,-65.4332,-99.7362,2,3
10,31,2482.05,2504.93,-0.987512,0.157542,2.98339,12,17.9526,52.5943,-37.0511,7,816.075,-57.3685,-95.8165,2,3
11,31,2480.08,2505.24,-0.987512,0.157542,2.98339,12,19.9241,52.3788,-37.4034,7,814.102,-60.6378,-100.053,2,3
12,31,2478.84,2503.67,-0.619896,-0.784684,-2.23941,12,20.6954,51.939,-37.467,7,812.852,-55.1057,-94.4857,2,3
13,31,2477.6,2502.1,-0.619896,-0.784684,-2.23941,12,21.6248,48.9794,-39.9961,7,811.605,-56.8657,-95.5398,2,3
14,31,2476.36,2500.53,-0.619896,-0.784684,-2.23941,12,22.6927,49.2029,-39.852,7,810.361,-53.305,-94.8092,2,3
15,31,2475.12,2498.96,-0.619896,-0.784684,-2.23941,12,23.8808,46.6427,-43.0391,7,809.119,-53.4376,-96.1171,2,3
