Time,UEId,PosX,PosY,VelX,VelY,Direction,SourceBsId,SourceDis,SourceSinr,SourceRsrp,TargetBsId,TargetDis,TargetSinr,TargetRsrp,TTT,HOM
1,28,2503.26,2491.61,1.08639,-2.79638,-1.20024,12,8.52878,65.0591,-24.568,11,825.622,-71.5428,-98.2967,2,3
2,28,2500.45,2496.91,-1.40392,2.65123,2.05779,12,2.54178,86.3114,-3.13198,11,830.915,-91.6471,-97.2248,2,3
3,28,2497.64,2502.22,-1.40392,2.65123,2.05779,12,3.49016,78.0838,-12.3992,13,829.785,-84.6598,-98.6928,2,3
4,28,2494.84,2507.52,-1.40392,2.65123,2.05779,12,9.48166,61.3492,-27.831,13,824.492,-72.9813,-98.8815,2,3
5,28,2492.03,2512.82,-1.40392,2.65123,2.05779,12,15.4797,56.1499,-33.4246,13,819.209,-62.5098,-97.973,2,3
6,28,2489.22,2518.12,-1.40392,2.65123,2.05779,12,21.4789,49.5425,-40.2918,13,813.936,-56.0699,-96.8361,2,3
7,28,2485.59,2513.35,-1.81652,-2.38752,-2.2212,12,19.6412,49.7735,-39.8349,13,818.762,-58.5797,-95.9062,2,3
8,28,2481.95,2508.57,-1.81652,-2.38752,-2.2212,12,19.5503,51.871,-37.3554,7,816.01,-60.0727,-99.0498,2,3
9,28,2478.32,2503.8,-1.81652,-2.38752,-2.2212,12,21.2285,48.5095,-40.2563,7,812.335,-60.0074,-98.6059,2,3
10,28,2474.69,2499.02,-1.81652,-2.38752,-2.2212,12,24.3122,52.3229,-36.4648,7,808.688,-58.9317,-98.9017,2,3
11,28,2471.05,2494.25,-1.81652,-2.38752,-2.2212,12,28.3464,45.5505,-44.1056,7,805.069,-51.5163,-96.9807,2,3
12,28,2473.47,2488.75,1.20571,-2.74705,-1.1572,12,27.5129,47.5026,-42.2363,7,807.531,-55.153,-97.077,2,3
13,28,2475.88,2483.26,1.20571,-2.74705,-1.1572,12,27.9714,42.7171,-46.7454,7,810.031,-56.3734,-98.679,2,3
14,28,2478.29,2477.77,1.20571,-2.74705,-1.1572,12,29.6621,45.7447,-44.0181,11,812.03,-52.9524,-98.8714,2,3
15,28,2480.7,2472.27,1.20571,-2.74705,-1.1572,12,32.3926,42.5336,-46.7636,11,806.479,-50.9347,-97.8794,2,3
16,28,2483.11,2466.78,1.20571,-2.74705,-1.1572,12,35.9267,41.2043,-48.0936,11,800.935,-50.9031,-96.2125,2,3
17,28,2489.02,2467.83,2.95313,0.528212,0.176993,12,32.7256,44.9946,-44.1544,11,801.896,-51.3418,-98.2711,2,3
18,28,2494.92,2468.89,2.95313,0.528212,0.176993,12,30.3843,43.6095,-45.4332,11,802.901,-53.7261,-97.2656,2,3
19,28,2500.83,2469.95,2.95313,0.528212,0.176993,12,29.1109,44.9802,-45.138,11,803.949,-51.4344,-97.0062,2,3
20,28,2506.74,2471,2.95313,0.528212,0.176993,12,29.0462,45.6209,-44.3527,11,805.04,-50.6874,-98.4492,2,3
21,28,2512.64,2472.06,2.95313,0.528212,0.176993,12,30.198,44.8305,-44.4297,11,806.175,-53.6085,-98.2576,2,3
22,28,2513.04,2478.05,0.198179,2.99345,1.50469,12,25.2222,47.1597,-42.5888,11,812.168,-54.2296,-96.8212,2,3
23,28,2513.44,2484.03,0.198179,2.99345,1.50469,12,20.7941,52.5055,-37.5355,11,818.161,-55.9551,-97.6744,2,3
24,28,2513.83,2490.02,0.198179,2.99345,1.50469,12,17.3387,53.5585,-36.471,17,818.217,-62.6842,-97.6282,2,3
25,28,2514.23,2496.01,0.198179,2.99345,1.50469,12,15.5199,55.3581,-34.1985,17,817.777,-61.7247,-96.0076,2,3
26,28,2514.62,2501.99,0.198179,2.99345,1.50469,12,15.9092,55.7538,-34.2901,17,817.381,-60.5015,-95.8456,2,3
27,28,2520.24,2499.88,2.80741,-1.05757,-0.360267,12,21.258,52.1891,-37.7628,17,811.761,-55.9837,-96.4096,2,3
28,28,2525.85,2497.76,2.80741,-1.05757,-0.360267,12,26.883,44.1241,-44.9131,17,806.146,-49.0921,-95.596,2,3
29,28,2531.47,2495.65,2.80741,-1.05757,-0.360267,12,32.6419,43.4071,-46.3448,17,800.538,-52.5968,-97.4759,2,3
30,28,2537.08,2493.53,2.80741,-1.05757,-0.360267,12,38.4746,39.8107,-49.905,17,794.935,-50.5817,-96.951,2,3
31,28,2542.7,2491.42,2.80741,-1.05757,-0.360267,12,44.3519,37.5179,-52.1626,17,789.337,-51.4802,-100.334,2,3
32,28,2548.42,2493.21,2.8628,0.896882,0.303603,12,49.7624,37.9036,-51.7807,17,783.597,-42.2106,-95.3308,2,3
33,28,2554.15,2495.01,2.8628,0.896882,0.303603,12,55.2947,35.3981,-54.6474,17,777.86,-44.4214,-98.923,2,3
34,28,2559.88,2496.8,2.8628,0.896882,0.303603,12,60.9156,32.631,-56.5979,17,772.127,-40.0659,-96.7561,2,3
35,28,2565.6,2498.59,2.8628,0.896882,0.303603,12,66.6027,31.5847,-57.6067,17,766.399,-37.9709,-97.0883,2,3
36,28,2571.33,2500.39,2.8628,0.896882,0.303603,12,72.3403,30.7958,-59.3149,17,760.674,-37.7134,-97.4199,2,3
37,28,2577.3,2499.85,2.98809,-0.267032,-0.0891286,12,78.3078,30.1848,-59.5388,17,754.697,-38.4873,-97.8801,2,3
38,28,2583.28,2499.32,2.98809,-0.267032,-0.0891286,12,84.28,30.5707,-59.7767,17,748.721,-37.5693,-97.5602,2,3
39,28,2589.26,2498.78,2.98809,-0.267032,-0.0891286,12,90.2558,29.1428,-61.2153,17,742.744,-29.7544,-93.4179,2,3
40,28,2595.23,2498.25,2.98809,-0.267032,-0.0891286,12,96.2347,26.8879,-63.1258,17,736.769,-34.9527,-97.7637,2,3
41,28,2601.21,2497.72,2.98809,-0.267032,-0.0891286,12,102.216,25.1719,-64.1832,17,730.793,-29.0484,-94.5602,2,3
42,28,2597.72,2492.83,-1.74338,-2.44144,-2.19091,12,98.9135,27.0254,-62.3553,17,734.305,-34.4576,-97.5297,2,3
43,28,2594.23,2487.95,-1.74338,-2.44144,-2.19091,12,95.8732,25.4676,-65.0372,17,737.848,-36.0621,-98.6083,2,3
44,28,2590.75,2483.07,-1.74338,-2.44144,-2.19091,12,93.1206,26.5717,-63.1462,17,741.424,-30.6545,-94.3616,2,3
45,28,2587.26,2478.19,-1.74338,-2.44144,-2.19091,12,90.682,27.7607,-62.1489,17,745.03,-33.3972,-95.0833,2,3
46,28,2583.77,2473.3,-1.74338,-2.44144,-2.19091,12,88.5834,26.2407,-62.5513,17,748.667,-35.0841,-96.9112,2,3
47,28,2578.05,2475.11,-2.86115,0.902121,2.83616,12,82.5838,28.887,-60.8145,17,754.327,-35.9904,-96.5685,2,3
48,28,2572.33,2476.91,-2.86115,0.902121,2.83616,12,76.5842,32.3226,-57.0025,17,759.992,-34.5729,-95.7294,2,3
49,28,2566.61,2478.72,-2.86115,0.902121,2.83616,12,70.5847,31.9553,-57.4399,17,765.662,-39.2256,-96.4535,2,3
50,28,2560.88,2480.52,-2.86115,0.902121,2.83616,12,64.5854,32.9938,-57.0193,17,771.337,-40.6128,-97.4616,2,3
51,28,2555.16,2482.32,-2.86115,0.902121,2.83616,12,58.5862,33.8494,-55.4185,17,777.016,-40.6344,-94.8172,2,3
52,28,2559.23,2486.73,2.03482,2.20443,0.825388,12,61.4688,34.7092,-55.2176,17,772.865,-34.7977,-94.4009,2,3
53,28,2563.3,2491.14,2.03482,2.20443,0.825388,12,64.7803,31.2918,-57.9892,17,768.738,-35.9231,-95.7116,2,3
54,28,2567.37,2495.55,2.03482,2.20443,0.825388,12,68.4585,32.3573,-56.5689,17,764.636,-37.1528,-97.0654,2,3
55,28,2571.44,2499.96,2.03482,2.20443,0.825388,12,72.4475,27.5651,-61.8943,17,760.559,-41.2941,-98.9075,2,3
56,28,2575.51,2504.37,2.03482,2.20443,0.825388,12,76.6988,30.1795,-59.6096,17,756.508,-37.6048,-96.6596,2,3
57,28,2572.13,2499.41,-1.68894,-2.47941,-2.16878,12,73.134,29.7159,-59.9512,17,759.867,-37.8014,-97.3454,2,3
58,28,2568.76,2494.45,-1.68894,-2.47941,-2.16878,12,69.9032,30.2591,-58.4251,17,763.259,-38.6877,-95.1847,2,3
59,28,2565.38,2489.49,-1.68894,-2.47941,-2.16878,12,67.0547,32.5884,-57.1124,17,766.682,-40.7966,-96.0245,2,3
60,28,2562,2484.53,-1.68894,-2.47941,-2.16878,12,64.6391,31.9493,-57.405,17,770.137,-42.0185,-98.1801,2,3
61,28,2558.62,2479.57,-1.68894,-2.47941,-2.16878,12,62.7063,31.7656,-58.0003,17,773.623,-37.7815,-97.7382,2,3
62,28,2558.85,2473.58,0.115302,-2.99778,-1.53235,12,65.0271,32.1245,-57.7585,17,773.566,-36.7059,-95.7125,2,3
63,28,2559.08,2467.58,0.115302,-2.99778,-1.53235,12,67.8009,31.8025,-56.7951,17,773.556,-40.3341,-97.7531,2,3
64,28,2559.31,2461.59,0.115302,-2.99778,-1.53235,12,70.9746,30.2267,-58.8293,17,773.592,-38.1881,-96.8549,2,3
