Time,UEId,PosX,PosY,VelX,VelY,Direction,SourceBsId,SourceDis,SourceSinr,SourceRsrp,TargetBsId,TargetDis,TargetSinr,TargetRsrp,TTT,HOM
1,32,2500.02,2491,0.00755278,-2.99999,-1.56828,12,8.06507,65.6817,-24.1151,11,825.001,-73.4845,-97.7751,3,5
2,32,2494.85,2487.96,-2.58599,-1.52074,-2.60999,12,11.7954,60.14,-30.0654,11,821.969,-66.522,-96.1868,3,5
3,32,2489.68,2484.92,-2.58599,-1.52074,-2.60999,12,16.8883,51.8467,-37.4989,11,818.97,-59.636,-97.3747,3,5
4,32,2484.51,2481.88,-2.58599,-1.52074,-2.60999,12,22.4344,47.9997,-41.894,11,816.004,-56.2335,-98.0723,3,5
5,32,2479.33,2478.83,-2.58599,-1.52074,-2.60999,12,28.1671,45.6534,-43.8492,11,813.072,-52.7407,-96.745,3,5
6,32,2474.16,2475.79,-2.58599,-1.52074,-2.60999,12,33.9922,41.0217,-48.9328,7,808.496,-48.6503,-97.1213,3,5
7,32,2469.3,2472.28,-2.43216,-1.7563,-2.51618,12,39.9517,38.1728,-51.2969,7,803.743,-46.8079,-96.43,3,5
8,32,2464.43,2468.77,-2.43216,-1.7563,-2.51618,12,45.9218,37.7187,-51.1285,7,799.006,-43.6772,-96.8717,3,5
9,32,2459.57,2465.25,-2.43216,-1.7563,-2.51618,12,51.8987,36.7928,-53.1308,7,794.287,-45.1652,-98.3461,3,5
10,32,2454.71,2461.74,-2.43216,-1.7563,-2.51618,12,57.8805,33.76,-56.4377,7,789.585,-39.0113,-95.6195,3,5
11,32,2449.84,2458.23,-2.43216,-1.7563,-2.51618,12,63.8656,31.714,-57.6306,7,784.901,-39.7378,-96.5777,3,5
12,32,2450.93,2464.13,0.545497,2.94999,1.38795,12,59.384,31.818,-57.2034,7,785.706,-39.5114,-96.4551,3,5
13,32,2452.02,2470.03,0.545497,2.94999,1.38795,12,55.1916,36.4684,-53.6575,7,786.557,-45.6382,-99.5089,3,5
14,32,2453.11,2475.93,0.545497,2.94999,1.38795,12,51.3591,35.0889,-55.0574,7,787.452,-42.887,-98.1567,3,5
15,32,2454.21,2481.83,0.545497,2.94999,1.38795,12,47.973,37.5837,-52.9857,7,788.392,-43.7182,-97.6537,3,5
16,32,2455.3,2487.73,0.545497,2.94999,1.38795,12,45.1337,35.4965,-54.737,7,789.377,-44.1584,-96.991,3,5
17,32,2450.34,2484.35,-2.47973,-1.68847,-2.54379,12,50.82,37.536,-51.8707,7,784.473,-44.3123,-98.1488,3,5
18,32,2445.38,2480.98,-2.47973,-1.68847,-2.54379,12,56.571,36.169,-53.5476,7,779.586,-40.3351,-97.2429,3,5
19,32,2440.42,2477.6,-2.47973,-1.68847,-2.54379,12,62.3691,32.5554,-57.6569,7,774.713,-37.6571,-94.6754,3,5
20,32,2435.46,2474.22,-2.47973,-1.68847,-2.54379,12,68.202,33.3858,-56.6495,7,769.857,-33.9819,-95.8596,3,5
21,32,2430.5,2470.84,-2.47973,-1.68847,-2.54379,12,74.0617,25.1943,-64.6727,7,765.017,-35.7198,-96.0247,3,5
22,32,2427.32,2465.76,-1.59117,-2.54326,-2.12986,12,79.0161,27.8012,-61.9789,7,762.042,-34.2082,-96.3289,3,5
23,32,2424.13,2460.67,-1.59117,-2.54326,-2.12986,12,84.1068,26.0765,-63.3419,7,759.102,-35.9921,-98.6432,3,5
24,32,2420.95,2455.59,-1.59117,-2.54326,-2.12986,12,89.3105,24.7395,-64.9499,7,756.199,-35.1378,-95.708,3,5
25,32,2417.77,2450.5,-1.59117,-2.54326,-2.12986,12,94.6086,23.8383,-65.258,7,753.332,-32.0022,-95.771,3,5
26,32,2414.59,2445.41,-1.59117,-2.54326,-2.12986,12,99.986,24.393,-64.5365,7,750.503,-31.0698,-94.7757,3,5
27,32,2414.86,2451.41,0.13688,2.99688,1.52515,12,96.6674,26.1019,-63.9174,7,750.372,-30.2879,-94.3726,3,5
28,32,2415.13,2457.4,0.13688,2.99688,1.52515,12,93.6162,25.3391,-64.5594,7,750.289,-33.7252,-97.4391,3,5
29,32,2415.41,2463.39,0.13688,2.99688,1.52515,12,90.8591,23.4516,-65.7768,7,750.254,-33.3975,-97.228,3,5
30,32,2415.68,2469.39,0.13688,2.99688,1.52515,12,88.4239,24.6361,-63.6052,7,750.267,-33.585,-96.7698,3,5
31,32,2415.96,2475.38,0.13688,2.99688,1.52515,12,86.3376,28.2306,-61.3522,7,750.328,-31.9915,-96.4601,3,5
32,32,2418.86,2470.13,1.45298,-2.62466,-1.0652,12,85.1792,26.9868,-63.0357,7,753.415,-34.9706,-96.5991,3,5
33,32,2421.77,2464.88,1.45298,-2.62466,-1.0652,12,84.4324,26.4696,-63.121,7,756.538,-35.0247,-95.6728,3,5
34,32,2424.67,2459.63,1.45298,-2.62466,-1.0652,12,84.108,28.255,-62.2801,7,759.694,-37.1469,-98.295,3,5
35,32,2427.58,2454.38,1.45298,-2.62466,-1.0652,12,84.2109,29.9339,-59.9855,7,762.886,-36.6983,-96.7049,3,5
36,32,2430.49,2449.13,1.45298,-2.62466,-1.0652,12,84.7396,29.0541,-61.3001,7,766.11,-35.691,-97.4404,3,5
37,32,2424.83,2451.13,-2.8287,0.999229,2.80203,12,88.2763,27.1912,-61.2178,7,760.337,-32.5264,-95.8618,3,5
38,32,2419.17,2453.13,-2.8287,0.999229,2.80203,12,92.0686,27.6306,-62.6085,7,754.566,-33.0098,-96.6696,3,5
39,32,2413.51,2455.13,-2.8287,0.999229,2.80203,12,96.0861,27.7599,-61.9645,7,748.8,-36.9056,-99.4998,3,5
40,32,2407.86,2457.13,-2.8287,0.999229,2.80203,12,100.302,26.7856,-63.0102,7,743.037,-35.318,-97.6903,3,5
41,32,2402.2,2459.13,-2.8287,0.999229,2.80203,12,104.692,24.7618,-64.7849,7,737.278,-31.7672,-97.2408,3,5
42,32,2407.74,2456.83,2.77105,-1.14948,-0.393215,12,100.532,23.9118,-65.2125,7,742.939,-34.6537,-96.3038,3,5
43,32,2413.28,2454.53,2.77105,-1.14948,-0.393215,12,96.5666,23.2325,-66.6992,7,748.605,-30.2893,-94.7977,3,5
44,32,2418.83,2452.23,2.77105,-1.14948,-0.393215,12,92.8197,26.1213,-63.3002,7,754.276,-32.4753,-97.4476,3,5
45,32,2424.37,2449.93,2.77105,-1.14948,-0.393215,12,89.3189,28.2718,-61.644,7,759.953,-30.9871,-94.4703,3,5
46,32,2429.91,2447.63,2.77105,-1.14948,-0.393215,12,86.0943,27.1573,-63.358,7,765.634,-37.3786,-97.3894,3,5
47,32,2425.24,2451.39,-2.33666,1.8815,2.46368,12,87.7918,25.143,-64.444,7,760.727,-34.9732,-95.8337,3,5
48,32,2420.56,2455.16,-2.33666,1.8815,2.46368,12,89.8586,25.618,-63.4937,7,755.835,-34.9807,-97.5039,3,5
49,32,2415.89,2458.92,-2.33666,1.8815,2.46368,12,92.2699,27.3102,-62.809,7,750.96,-32.2952,-97.1991,3,5
50,32,2411.22,2462.68,-2.33666,1.8815,2.46368,12,94.9995,26.8991,-63.1274,7,746.1,-31.88,-95.5659,3,5
51,32,2406.54,2466.45,-2.33666,1.8815,2.46368,12,98.0208,27.5217,-62.4707,7,741.258,-33.1798,-97.3043,3,5
52,32,2400.56,2466.89,-2.99193,0.219857,3.06824,12,103.547,25.0799,-65.1445,7,735.26,-34.431,-97.1084,3,5
53,32,2394.57,2467.33,-2.99193,0.219857,3.06824,12,109.123,20.9775,-68.955,7,729.263,-30.2733,-95.3188,3,5
54,32,2388.59,2467.77,-2.99193,0.219857,3.06824,12,114.742,24.0184,-65.517,7,723.266,-30.2402,-96.5765,3,5
55,32,2382.61,2468.21,-2.99193,0.219857,3.06824,12,120.398,21.3045,-68.4208,7,717.269,-29.4862,-95.4499,3,5
56,32,2376.62,2468.65,-2.99193,0.219857,3.06824,12,126.085,23.4392,-65.9758,7,711.271,-28.5844,-95.6361,3,5
57,32,2378.15,2462.84,0.76148,-2.90175,-1.31416,12,126.147,21.3829,-68.2046,7,713.064,-27.4433,-92.8339,3,5
58,32,2379.67,2457.04,0.76148,-2.90175,-1.31416,12,126.494,20.2703,-69.1951,7,714.902,-25.888,-93.7681,3,5
59,32,2381.19,2451.23,0.76148,-2.90175,-1.31416,12,127.123,21.6501,-68.3463,7,716.785,-30.1979,-96.6484,3,5
60,32,2382.72,2445.43,0.76148,-2.90175,-1.31416,12,128.03,21.1692,-68.0526,7,718.714,-25.6616,-95.8489,3,5
61,32,2384.24,2439.63,0.76148,-2.90175,-1.31416,12,129.21,22.0409,-67.7618,7,720.688,-23.9036,-94.1225,3,5
62,32,2382.24,2433.97,-1.00073,-2.82817,-1.91089,12,133.65,20.7882,-69.042,7,719.183,-28.8582,-97.3213,3,5
63,32,2380.24,2428.32,-1.00073,-2.82817,-1.91089,12,138.208,18.0581,-70.8559,7,717.724,-29.8458,-97.3762,3,5
64,32,2378.23,2422.66,-1.00073,-2.82817,-1.91089,12,142.872,21.0874,-67.8955,7,716.313,-24.6615,-93.3761,3,5
65,32,2376.23,2417,-1.00073,-2.82817,-1.91089,12,147.633,17.7087,-72.5146,7,714.95,-26.4185,-96.2526,3,5
66,32,2374.23,2411.35,-1.00073,-2.82817,-1.91089,12,152.481,16.0077,-73.4467,7,713.634,-27.1919,-94.8481,3,5
67,32,2379.04,2407.76,2.40645,-1.79137,-0.639908,12,150.71,17.2954,-71.9559,7,718.857,-24.2488,-95.1982,3,5
68,32,2383.86,2404.18,2.40645,-1.79137,-0.639908,12,149.16,17.8795,-71.8352,7,724.092,-25.5156,-96.011,3,5
69,32,2388.67,2400.6,2.40645,-1.79137,-0.639908,12,147.837,16.908,-72.2815,7,729.338,-24.0548,-96.7272,3,5
70,32,2393.48,2397.02,2.40645,-1.79137,-0.639908,12,146.748,16.6244,-72.7424,7,734.596,-26.5967,-97.6178,3,5
71,32,2398.3,2393.43,2.40645,-1.79137,-0.639908,12,145.897,21.3861,-68.1751,11,734.37,-24.7622,-95.5332,3,5
72,32,2394.99,2388.43,-1.65373,-2.50303,-2.15465,12,151.806,18.6391,-69.9922,11,729.876,-25.6404,-95.3104,3,5
73,32,2391.68,2383.42,-1.65373,-2.50303,-2.15465,12,157.722,19.0051,-70.5717,11,725.403,-26.3068,-97.6889,3,5
74,32,2388.37,2378.41,-1.65373,-2.50303,-2.15465,12,163.644,15.1255,-73.5323,11,720.953,-24.8732,-96.5366,3,5
75,32,2385.07,2373.41,-1.65373,-2.50303,-2.15465,12,169.571,15.9323,-72.6553,11,716.525,-22.2259,-94.7471,3,5
76,32,2381.76,2368.4,-1.65373,-2.50303,-2.15465,12,175.503,15.8316,-73.8144,11,712.12,-24.3505,-95.4905,3,5
77,32,2385.96,2372.69,2.09894,2.14347,0.795896,12,169.509,13.4968,-75.6016,11,715.673,-21.296,-94.8169,3,5
78,32,2390.15,2376.98,2.09894,2.14347,0.795896,12,163.516,16.7331,-72.7366,11,719.26,-25.6136,-96.0271,3,5
79,32,2394.35,2381.26,2.09894,2.14347,0.795896,12,157.522,17.7986,-71.6493,11,722.878,-20.2909,-92.0134,3,5
80,32,2398.55,2385.55,2.09894,2.14347,0.795896,12,151.53,17.6942,-70.6141,11,726.528,-27.4748,-98.0084,3,5
81,32,2402.75,2389.84,2.09894,2.14347,0.795896,12,145.537,18.656,-70.5527,11,730.208,-25.4951,-95.9793,3,5
82,32,2407.96,2386.86,2.60514,-1.4877,-0.51887,12,144.443,18.1789,-71.2588,11,726.588,-25.1351,-94.6952,3,5
83,32,2413.17,2383.89,2.60514,-1.4877,-0.51887,12,143.591,20.4741,-68.6876,11,722.999,-22.618,-93.9917,3,5
84,32,2418.38,2380.91,2.60514,-1.4877,-0.51887,12,142.986,19.4528,-69.7789,11,719.442,-27.9737,-96.1052,3,5
85,32,2423.59,2377.94,2.60514,-1.4877,-0.51887,12,142.631,16.7466,-71.6624,11,715.918,-23.6375,-94.039,3,5
86,32,2428.8,2374.96,2.60514,-1.4877,-0.51887,12,142.528,20.3546,-68.6076,11,712.427,-26.4052,-95.3562,3,5
87,32,2427.1,2369.21,-0.84913,-2.87732,-1.85776,12,148.379,19.2794,-69.5588,11,706.871,-26.6843,-95.3863,3,5
88,32,2425.4,2363.45,-0.84913,-2.87732,-1.85776,12,154.241,15.8271,-73.5985,11,701.323,-26.9575,-96.6903,3,5
89,32,2423.7,2357.7,-0.84913,-2.87732,-1.85776,12,160.113,14.0381,-75.2475,11,695.782,-23.2999,-94.6661,3,5
90,32,2422.01,2351.94,-0.84913,-2.87732,-1.85776,12,165.995,17.866,-70.9725,11,690.249,-24.2599,-94.4155,3,5
91,32,2420.31,2346.19,-0.84913,-2.87732,-1.85776,12,171.885,17.4994,-71.5282,11,684.724,-23.1043,-95.1824,3,5
92,32,2414.78,2348.52,-2.76486,1.16428,2.74303,12,172.45,16.1382,-73.0662,11,687.692,-22.5774,-94.9859,3,5
93,32,2409.25,2350.84,-2.76486,1.16428,2.74303,12,173.221,17.1057,-72.5622,11,690.7,-23.1312,-96.2282,3,5
94,32,2403.72,2353.17,-2.76486,1.16428,2.74303,12,174.196,17.1578,-71.4582,11,693.747,-18.6638,-93.8038,3,5
95,32,2398.19,2355.5,-2.76486,1.16428,2.74303,12,175.371,16.0299,-73.4226,11,696.832,-25.9041,-98.1067,3,5
96,32,2392.66,2357.83,-2.76486,1.16428,2.74303,12,176.741,14.8555,-74.1793,11,699.955,-20.5837,-93.7272,3,5
97,32,2386.73,2358.76,-2.96369,0.465353,2.98585,12,179.642,18.2373,-70.7771,11,701.798,-22.83,-97.434,3,5
98,32,2380.8,2359.69,-2.96369,0.465353,2.98585,12,182.695,14.8086,-74.5063,11,703.688,-22.0138,-94.8472,3,5
99,32,2374.88,2360.62,-2.96369,0.465353,2.98585,12,185.89,17.9674,-72.2251,11,705.624,-20.1722,-95.0453,3,5
100,32,2368.95,2361.55,-2.96369,0.465353,2.98585,12,189.222,14.7529,-74.8459,11,707.606,-19.8671,-95.2046,3,5
101,32,2363.02,2362.48,-2.96369,0.465353,2.98585,12,192.683,14.4931,-74.6959,11,709.633,-19.9429,-93.6027,3,5
102,32,2367.5,2366.48,2.23728,1.99865,0.729123,12,186.694,15.3258,-74.1427,11,712.717,-22.8601,-94.6751,3,5
103,32,2371.97,2370.48,2.23728,1.99865,0.729123,12,180.705,14.5883,-74.0787,11,715.839,-21.5414,-94.7629,3,5
104,32,2376.45,2374.47,2.23728,1.99865,0.729123,12,174.717,17.9983,-71.0799,11,718.997,-23.5922,-97.5093,3,5
105,32,2380.92,2378.47,2.23728,1.99865,0.729123,12,168.73,17.1779,-72.5858,11,722.191,-21.9588,-94.9643,3,5
106,32,2385.39,2382.47,2.23728,1.99865,0.729123,12,162.744,16.4317,-73.1536,11,725.42,-23.4484,-96.7878,3,5
107,32,2390.23,2378.92,2.4201,-1.77289,-0.632251,12,162.013,16.706,-72.8409,11,721.173,-25.582,-98.2765,3,5
108,32,2395.08,2375.38,2.4201,-1.77289,-0.632251,12,161.502,18.0564,-72.2364,11,716.95,-20.6803,-94.0346,3,5
109,32,2399.92,2371.83,2.4201,-1.77289,-0.632251,12,161.212,19.6894,-69.9788,11,712.753,-22.5791,-95.154,3,5
110,32,2404.76,2368.29,2.4201,-1.77289,-0.632251,12,161.146,16.9282,-72.7697,11,708.582,-20.76,-92.3741,3,5
111,32,2409.6,2364.74,2.4201,-1.77289,-0.632251,12,161.303,16.6045,-72.402,11,704.437,-26.1765,-97.7417,3,5
112,32,2404.29,2367.54,-2.65363,1.39938,2.65631,12,162.025,17.941,-72.0659,11,707.904,-26.4841,-95.1315,3,5
113,32,2398.98,2370.34,-2.65363,1.39938,2.65631,12,162.965,18.3538,-70.3546,11,711.404,-20.3894,-94.8132,3,5
114,32,2393.67,2373.14,-2.65363,1.39938,2.65631,12,164.119,17.278,-71.8024,11,714.938,-17.9147,-92.363,3,5
115,32,2388.37,2375.94,-2.65363,1.39938,2.65631,12,165.483,18.018,-71.0751,11,718.504,-28.003,-98.183,3,5
116,32,2383.06,2378.73,-2.65363,1.39938,2.65631,12,167.051,14.7749,-74.4617,11,722.103,-22.9721,-96.4259,3,5
117,32,2388.44,2381.38,2.69187,1.32432,0.457201,12,161.42,16.7754,-71.7093,11,723.876,-24.8096,-97.029,3,5
118,32,2393.83,2384.03,2.69187,1.32432,0.457201,12,155.817,17.9598,-70.4483,11,725.693,-26.1857,-97.8023,3,5
119,32,2399.21,2386.68,2.69187,1.32432,0.457201,12,150.245,21.0992,-68.1353,11,727.556,-23.9166,-94.147,3,5
120,32,2404.59,2389.33,2.69187,1.32432,0.457201,12,144.707,16.7704,-72.0029,11,729.464,-24.5352,-95.8754,3,5
