Number of preambles,N=30,N=60,N=90
10,0.39,0.3,0.251989
14,0.457142857,0.392857143,0.30253
20,0.5829,0.495,0.4351
24,0.766666667,0.586333333,0.443295833
30,0.7265,0.6538,0.58529
34,0.655882353,0.764705882,0.605689118
40,0.60575,0.72,0.62805
44,0.5805,0.681818182,0.706788636
50,0.48144,0.65,0.705
54,0.450281481,0.601111111,0.737777778
