Time,UEId,PosX,PosY,VelX,VelY,Direction,SourceBsId,SourceDis,SourceSinr,SourceRsrp,TargetBsId,TargetDis,TargetSinr,TargetRsrp,TTT,HOM
1,27,2499.18,2502.89,-0.273923,0.961752,1.84827,12,3.88934,77.2356,-13.435,13,829.115,-82.1278,-96.0502,3,5
2,27,2497.21,2502.55,-0.986154,-0.165833,-2.97499,12,3.98079,76.5776,-13.8086,13,829.448,-84.2994,-98.2042,3,5
3,27,2495.23,2502.22,-0.986154,-0.165833,-2.97499,12,4.95646,71.9693,-18.2335,7,829.24,-78.1104,-95.1304,3,5
4,27,2493.26,2501.89,-0.986154,-0.165833,-2.97499,12,6.42543,70.9788,-18.6047,7,827.266,-75.8533,-98.868,3,5
5,27,2491.29,2501.56,-0.986154,-0.165833,-2.97499,12,8.1244,66.3864,-23.9799,7,825.293,-73.6248,-98.6435,3,5
6,27,2489.32,2501.23,-0.986154,-0.165833,-2.97499,12,9.93608,62.5754,-26.7508,7,823.32,-70.7498,-97.1983,3,5
7,27,2491.11,2502.12,0.89417,0.447728,0.464223,12,8.48998,65.5299,-25.0681,7,825.111,-72.9238,-97.1744,3,5
8,27,2492.89,2503.02,0.89417,0.447728,0.464223,12,7.30985,65.5963,-24.0183,7,826.903,-77.0904,-98.1694,3,5
9,27,2494.68,2503.91,0.89417,0.447728,0.464223,12,6.54126,70.13,-19.5754,13,828.098,-77.2177,-98.6583,3,5
10,27,2496.47,2504.81,0.89417,0.447728,0.464223,12,6.33579,68.9932,-19.9927,13,827.195,-80.6911,-101.035,3,5
11,27,2498.26,2505.7,0.89417,0.447728,0.464223,12,6.7451,68.9216,-21.7651,13,826.296,-79.8616,-99.0242,3,5
12,27,2496.32,2506.18,-0.971263,0.238008,2.90128,12,7.66552,67.2329,-22.1744,13,825.824,-75.4943,-98.5907,3,5
13,27,2494.37,2506.66,-0.971263,0.238008,2.90128,12,8.94561,64.3932,-25.4798,13,825.357,-76.5461,-99.0229,3,5
14,27,2492.43,2507.13,-0.971263,0.238008,2.90128,12,10.4541,60.7797,-28.6742,13,824.894,-72.9822,-99.8368,3,5
15,27,2490.49,2507.61,-0.971263,0.238008,2.90128,12,12.1058,60.0534,-29.9485,13,824.436,-66.8218,-97.2723,3,5
16,27,2488.55,2508.08,-0.971263,0.238008,2.90128,12,13.8497,57.6419,-32.3966,7,822.596,-67.5396,-98.0947,3,5
17,27,2489.28,2509.95,0.365263,0.930904,1.19688,12,14.6413,55.2708,-35.1985,13,822.111,-64.1378,-98.0829,3,5
18,27,2490.01,2511.81,0.365263,0.930904,1.19688,12,15.6499,53.4653,-35.8738,13,820.241,-61.2178,-97.4106,3,5
19,27,2490.74,2513.67,0.365263,0.930904,1.19688,12,16.8366,55.8061,-33.3634,13,818.372,-64.5318,-100,3,5
20,27,2491.47,2515.53,0.365263,0.930904,1.19688,12,18.1666,54.059,-36.0056,13,816.503,-62.6339,-99.8983,3,5
21,27,2492.2,2517.39,0.365263,0.930904,1.19688,12,19.6106,50.0556,-39.3393,13,814.635,-57.4664,-95.9254,3,5
22,27,2490.2,2517.49,-0.998713,0.0507166,3.09085,12,20.4812,50.3098,-39.3464,13,814.553,-59.4014,-98.1059,3,5
23,27,2488.2,2517.6,-0.998713,0.0507166,3.09085,12,21.5031,48.5297,-40.728,13,814.475,-59.2286,-98.4789,3,5
24,27,2486.21,2517.7,-0.998713,0.0507166,3.09085,12,22.6558,49.1322,-40.4139,13,814.403,-57.0036,-97.9905,3,5
25,27,2484.21,2517.8,-0.998713,0.0507166,3.09085,12,23.9204,46.4032,-42.85,13,814.335,-59.1013,-97.9006,3,5
26,27,2482.21,2517.9,-0.998713,0.0507166,3.09085,12,25.2802,45.8557,-43.6374,13,814.273,-57.2262,-96.7936,3,5
27,27,2484.2,2517.68,0.99376,-0.111539,-0.111771,12,23.8311,47.5701,-42.5107,13,814.457,-55.5727,-98.4951,3,5
28,27,2486.19,2517.45,0.99376,-0.111539,-0.111771,12,22.4667,48.0687,-40.5073,13,814.646,-58.4033,-98.7709,3,5
29,27,2488.17,2517.23,0.99376,-0.111539,-0.111771,12,21.2034,51.7221,-36.966,13,814.841,-59.9555,-99.0429,3,5
30,27,2490.16,2517.01,0.99376,-0.111539,-0.111771,12,20.0603,54.6179,-35.3558,13,815.04,-57.4789,-96.0251,3,5
31,27,2492.15,2516.79,0.99376,-0.111539,-0.111771,12,19.0591,53.7701,-36.6026,13,815.244,-59.4935,-97.2315,3,5
32,27,2490.85,2515.26,-0.648381,-0.761316,-2.27625,12,18.1895,52.1692,-37.8512,13,816.778,-63.2106,-99.5325,3,5
33,27,2489.56,2513.74,-0.648381,-0.761316,-2.27625,12,17.5061,52.1019,-37.6284,13,818.315,-63.8175,-99.2107,3,5
34,27,2488.26,2512.22,-0.648381,-0.761316,-2.27625,12,17.0315,54.5989,-35.493,13,819.853,-62.5049,-98.0152,3,5
35,27,2486.96,2510.69,-0.648381,-0.761316,-2.27625,12,16.7834,52.5654,-37.7118,7,821.045,-64.6026,-98.4733,3,5
36,27,2485.67,2509.17,-0.648381,-0.761316,-2.27625,12,16.7717,54.2098,-35.3714,7,819.728,-59.8142,-95.3839,3,5
