Time,UEId,PosX,PosY,VelX,VelY,Direction,SourceBsId,SourceDis,SourceSinr,SourceRsrp,TargetBsId,TargetDis,TargetSinr,TargetRsrp,TTT,HOM
1,25,2482.9,2494.38,-5.70023,-1.8728,-2.82415,12,16.75,55.4481,-33.976,7,816.912,-66.8052,-102.3,1,1
2,25,2494.15,2498.57,5.62325,2.09261,0.356257,12,4.87347,73.0498,-16.1496,7,828.146,-83.9425,-96.986,1,1
3,25,2505.39,2502.75,5.62325,2.09261,0.356257,12,7.41213,65.694,-24.1028,17,826.616,-72.8824,-100.261,1,1
4,25,2516.64,2506.94,5.62325,2.09261,0.356257,12,19.3424,51.6546,-38.5168,17,815.4,-58.9201,-97.8554,1,1
5,25,2527.89,2511.12,5.62325,2.09261,0.356257,12,31.326,42.6546,-47.229,17,804.206,-50.6529,-98.49,1,1
6,25,2539.13,2515.31,5.62325,2.09261,0.356257,12,43.3187,37.4492,-52.2565,17,793.036,-48.5571,-98.2657,1,1
7,25,2528.07,2510.65,-5.52974,-2.3285,-2.74304,12,31.32,44.3592,-45.0023,17,804.012,-50.7282,-95.274,1,1
8,25,2517.01,2505.99,-5.52974,-2.3285,-2.74304,12,19.3229,53.1225,-36.67,17,815.017,-63.4124,-99.7875,1,1
9,25,2505.95,2501.34,-5.52974,-2.3285,-2.74304,12,7.3355,66.436,-23.1438,17,826.05,-74.3606,-98.4428,1,1
10,25,2494.89,2496.68,-5.52974,-2.3285,-2.74304,12,4.71636,75.8164,-14.155,7,828.897,-83.2473,-98.8224,1,1
11,25,2483.83,2492.02,-5.52974,-2.3285,-2.74304,12,16.6937,55.2987,-34.305,7,817.864,-63.3556,-99.2324,1,1
12,25,2478.83,2481.12,-2.50274,-5.4531,-2.00107,12,26.9572,44.0696,-45.427,7,813.026,-54.1598,-97.2964,1,1
13,25,2473.82,2470.21,-2.50274,-5.4531,-2.00107,12,38.2454,42.0699,-47.4996,11,804.604,-45.6008,-95.8947,1,1
14,25,2468.82,2459.3,-2.50274,-5.4531,-2.00107,12,49.867,36.3265,-53.6794,11,793.878,-44.6947,-96.6914,1,1
15,25,2463.81,2448.4,-2.50274,-5.4531,-2.00107,12,61.6339,33.5873,-56.1618,11,783.189,-40.4766,-97.4153,1,1
16,25,2458.81,2437.49,-2.50274,-5.4531,-2.00107,12,73.4762,30.5494,-58.9439,11,772.538,-36.9427,-97.5082,1,1
17,25,2446.81,2437.75,-5.9986,0.129558,3.12,12,80.4691,27.9833,-61.6156,11,773.513,-36.1317,-96.2045,1,1
18,25,2434.81,2438.01,-5.9986,0.129558,3.12,12,88.5427,25.7755,-63.44,7,771.228,-28.6598,-94.1782,1,1
19,25,2422.82,2438.27,-5.9986,0.129558,3.12,12,97.4286,24.0917,-65.6937,7,759.248,-31.8715,-95.1871,1,1
20,25,2410.82,2438.53,-5.9986,0.129558,3.12,12,106.925,23.3978,-66.2209,7,747.269,-30.168,-96.4295,1,1
21,25,2398.82,2438.79,-5.9986,0.129558,3.12,12,116.882,23.3914,-65.8413,7,735.291,-26.9766,-93.7157,1,1
22,25,2386.84,2438.13,-5.99107,-0.327281,-3.08702,12,127.612,19.7017,-70.2558,7,723.404,-24.6517,-92.6287,1,1
23,25,2374.86,2437.48,-5.99107,-0.327281,-3.08702,12,138.551,20.8172,-69.1558,7,711.522,-25.5408,-96.0317,1,1
24,25,2362.87,2436.82,-5.99107,-0.327281,-3.08702,12,149.653,17.5858,-71.8773,7,699.643,-28.547,-96.4161,1,1
25,25,2350.89,2436.17,-5.99107,-0.327281,-3.08702,12,160.884,18.1928,-71.4376,7,687.768,-24.5095,-94.7819,1,1
