Time,UEId,PosX,PosY,VelX,VelY,Direction,SourceBsId,SourceDis,SourceSinr,SourceRsrp,TargetBsId,TargetDis,TargetSinr,TargetRsrp,TTT,HOM
1,26,2499.86,2503,-0.0462361,0.998931,1.61705,12,4.08854,76.8274,-13.1583,13,829.004,-83.8508,-97.165,1,0.1
2,26,2499.83,2501,-0.0170486,-0.999855,-1.58785,12,2.16162,86.1325,-3.35613,13,831.003,-93.4646,-94.6318,1,0.1
3,26,2499.79,2499,-0.0170486,-0.999855,-1.58785,12,0.793102,100.486,11.4647,17,832.207,-110.017,-97.9377,1,0.1
4,26,2499.76,2497,-0.0170486,-0.999855,-1.58785,12,2.14136,88.0852,-1.27853,11,830.998,-98.9473,-102.575,1,0.1
5,26,2499.72,2495,-0.0170486,-0.999855,-1.58785,12,4.06717,76.0999,-13.9418,11,828.998,-84.6886,-97.5717,1,0.1
6,26,2499.69,2493,-0.0170486,-0.999855,-1.58785,12,6.04138,70.9637,-18.9769,11,826.999,-77.9973,-97.8304,1,0.1
7,26,2499.51,2494.99,-0.0898764,0.995953,1.66079,12,4.04228,77.5941,-12.4705,11,828.99,-83.8666,-97.7291,1,0.1
8,26,2499.33,2496.98,-0.0898764,0.995953,1.66079,12,2.04496,86.4516,-3.38641,11,830.982,-97.9384,-99.3521,1,0.1
9,26,2499.15,2498.97,-0.0898764,0.995953,1.66079,12,0.153768,129.81,39.5581,17,832.848,-137.236,-98.3595,1,0.1
10,26,2498.97,2500.97,-0.0898764,0.995953,1.66079,12,1.96607,92.1517,1.84907,13,831.034,-100.335,-101.249,1,0.1
11,26,2498.79,2502.96,-0.0898764,0.995953,1.66079,12,3.96323,75.0262,-15.2035,13,829.042,-85.2051,-97.3708,1,0.1
12,26,2500.06,2501.41,0.635439,-0.772151,-0.882219,12,2.63717,81.3018,-7.4027,13,830.587,-92.0405,-98.907,1,0.1
13,26,2501.33,2499.87,0.635439,-0.772151,-0.882219,12,2.4904,87.0737,-2.653,17,830.667,-92.8565,-99.3751,1,0.1
14,26,2502.6,2498.32,0.635439,-0.772151,-0.882219,12,3.66736,77.283,-12.2291,17,829.396,-89.5504,-99.8957,1,0.1
15,26,2503.88,2496.78,0.635439,-0.772151,-0.882219,12,5.35695,70.3037,-19.0863,17,828.127,-79.251,-97.7674,1,0.1
16,26,2505.15,2495.24,0.635439,-0.772151,-0.882219,12,7.20724,68.5748,-21.3198,17,826.862,-76.6852,-99.9137,1,0.1
17,26,2506.76,2496.42,0.805784,0.59221,0.633799,12,8.17554,63.1358,-26.1841,17,825.246,-73.8701,-97.968,1,0.1
18,26,2508.37,2497.61,0.805784,0.59221,0.633799,12,9.47283,61.6619,-27.7744,17,823.632,-69.4024,-95.4443,1,0.1
19,26,2509.98,2498.79,0.805784,0.59221,0.633799,12,10.9832,63.4885,-26.4661,17,822.019,-66.8083,-98.259,1,0.1
20,26,2511.59,2499.97,0.805784,0.59221,0.633799,12,12.6303,57.9922,-31.7292,17,820.408,-67.5757,-98.0617,1,0.1
21,26,2513.2,2501.16,0.805784,0.59221,0.633799,12,14.3673,54.7272,-34.1086,17,818.799,-61.7405,-96.3995,1,0.1
22,26,2511.47,2502.16,-0.865236,0.501365,2.61642,12,12.8681,57.958,-32.1864,17,820.532,-66.8943,-98.8924,1,0.1
23,26,2509.74,2503.16,-0.865236,0.501365,2.61642,12,11.522,58.5916,-30.8099,17,822.267,-64.8863,-98.1207,1,0.1
24,26,2508.01,2504.17,-0.865236,0.501365,2.61642,12,10.3887,61.3254,-28.441,17,824.003,-73.1933,-100.362,1,0.1
25,26,2506.28,2505.17,-0.865236,0.501365,2.61642,12,9.54428,63.4512,-25.7379,17,825.741,-73.2311,-95.9435,1,0.1
26,26,2504.55,2506.17,-0.865236,0.501365,2.61642,12,9.06982,65.2179,-25.3157,13,825.847,-75.5076,-98.6397,1,0.1
27,26,2504.37,2508.16,-0.0932924,0.995639,1.66422,12,10.6185,62.8537,-27.0085,13,823.854,-68.8601,-97.1393,1,0.1
28,26,2504.18,2510.15,-0.0932924,0.995639,1.66422,12,12.2981,57.6895,-31.3255,13,821.862,-68.6362,-98.163,1,0.1
29,26,2503.99,2512.15,-0.0932924,0.995639,1.66422,12,14.0618,56.5924,-33.1147,13,819.869,-65.3947,-98.2621,1,0.1
