Time,UEId,PosX,PosY,VelX,VelY,Direction,SourceBsId,SourceDis,SourceSinr,SourceRsrp,TargetBsId,TargetDis,TargetSinr,TargetRsrp,TTT,HOM
1,31,2513.96,2511.36,4.65351,3.78745,0.683154,12,19.4074,53.145,-36.5789,17,818.133,-58.0819,-96.8223,3,5
2,31,2523.85,2504.57,4.94618,-3.39636,-0.601719,12,25.4694,45.4164,-43.8691,17,808.166,-54.5731,-98.1541,3,5
3,31,2533.75,2497.78,4.94618,-3.39636,-0.601719,12,34.7668,41.5227,-48.5326,17,798.256,-49.5116,-95.7205,3,5
4,31,2543.64,2490.98,4.94618,-3.39636,-0.601719,12,45.3517,39.6836,-50.38,17,788.403,-42.0867,-95.6298,3,5
5,31,2553.53,2484.19,4.94618,-3.39636,-0.601719,12,56.505,34.4371,-55.1187,17,778.611,-40.1673,-96.7212,3,5
6,31,2563.42,2477.4,4.94618,-3.39636,-0.601719,12,67.9475,30.4069,-59.113,17,768.881,-38.8304,-98.3453,3,5
7,31,2565.86,2465.65,1.2183,-5.87501,-1.36632,12,74.7157,30.7212,-58.7969,17,766.867,-39.1806,-98.4615,3,5
8,31,2568.3,2453.9,1.2183,-5.87501,-1.36632,12,82.6801,29.433,-60.7666,17,765.035,-31.9061,-94.6378,3,5
9,31,2570.73,2442.15,1.2183,-5.87501,-1.36632,12,91.5291,25.9577,-63.9983,17,763.388,-32.6014,-94.1691,3,5
10,31,2573.17,2430.4,1.2183,-5.87501,-1.36632,12,101.03,27.0261,-62.2448,17,761.926,-32.3683,-98.8912,3,5
11,31,2575.61,2418.65,1.2183,-5.87501,-1.36632,12,111.017,24.4829,-65.0692,11,756.537,-29.8353,-96.8012,3,5
12,31,2563.62,2419.29,-5.99152,0.318941,3.08841,12,102.617,26.1235,-63.3287,11,756.053,-33.9606,-97.9869,3,5
13,31,2551.64,2419.92,-5.99152,0.318941,3.08841,12,94.9939,25.3289,-63.7348,11,755.76,-28.9574,-92.5722,3,5
14,31,2539.66,2420.56,-5.99152,0.318941,3.08841,12,88.3482,29.5413,-60.2617,11,755.657,-36.195,-96.543,3,5
15,31,2527.67,2421.2,-5.99152,0.318941,3.08841,12,82.9154,26.3671,-62.729,11,755.744,-35.0736,-96.652,3,5
16,31,2515.69,2421.84,-5.99152,0.318941,3.08841,12,78.9464,27.0086,-62.1344,11,756.022,-33.1276,-94.1664,3,5
17,31,2520.96,2432.62,2.6338,5.39102,1.11635,12,69.9174,32.6387,-56.1932,11,766.935,-34.3757,-96.0704,3,5
18,31,2526.23,2443.4,2.6338,5.39102,1.11635,12,61.9059,32.6577,-56.6198,11,777.879,-41.5324,-97.7371,3,5
19,31,2531.49,2454.18,2.6338,5.39102,1.11635,12,55.3557,32.8845,-57.139,11,788.854,-44.6322,-98.6892,3,5
20,31,2536.76,2464.97,2.6338,5.39102,1.11635,12,50.8346,37.6015,-51.3574,17,795.967,-41.5325,-96.2961,3,5
21,31,2542.03,2475.75,2.6338,5.39102,1.11635,12,48.9088,34.2868,-55.437,17,790.314,-46.1151,-98.952,3,5
22,31,2533.27,2483.95,-4.37917,4.10157,2.38891,12,37.4284,44.5487,-45.79,17,798.872,-49.6455,-98.011,3,5
23,31,2524.51,2492.15,-4.37917,4.10157,2.38891,12,26.414,49.132,-40.7856,17,807.517,-54.1537,-97.2411,3,5
24,31,2515.75,2500.36,-4.37917,4.10157,2.38891,12,16.8081,54.7969,-35.1151,17,816.248,-63.4992,-98.2758,3,5
25,31,2506.99,2508.56,-4.37917,4.10157,2.38891,12,12.4631,57.9874,-31.7784,13,823.478,-65.1133,-96.4413,3,5
26,31,2498.24,2516.76,-4.37917,4.10157,2.38891,12,17.7804,52.6036,-36.9037,13,815.236,-64.1339,-100.011,3,5
27,31,2502.2,2528.09,1.98049,5.66372,1.23441,12,29.2667,46.8433,-43.6999,13,803.915,-50.4253,-97.5403,3,5
28,31,2506.16,2539.42,1.98049,5.66372,1.23441,12,41.0479,40.0909,-49.9544,13,792.613,-47.7526,-95.8202,3,5
29,31,2510.12,2550.75,1.98049,5.66372,1.23441,12,52.9275,36.084,-53.8982,13,781.333,-42.1293,-95.045,3,5
30,31,2514.08,2562.07,1.98049,5.66372,1.23441,12,64.8515,28.1968,-61.0469,13,770.074,-40.2068,-95.8801,3,5
31,31,2518.04,2573.4,1.98049,5.66372,1.23441,12,76.7992,27.3677,-62.0282,13,758.838,-36.5403,-94.5486,3,5
32,31,2512.69,2584.14,-2.67586,5.37027,2.03306,12,86.2353,25.9834,-63.5281,13,747.984,-32.3832,-95.2149,3,5
33,31,2507.34,2594.88,-2.67586,5.37027,2.03306,12,96.2441,26.7672,-63.2826,13,737.165,-33.5582,-95.7364,3,5
34,31,2501.99,2605.62,-2.67586,5.37027,2.03306,12,106.665,23.4398,-66.323,13,726.383,-28.3625,-96.0386,3,5
35,31,2496.63,2616.36,-2.67586,5.37027,2.03306,12,117.387,22.4086,-67.3801,13,715.641,-27.2515,-92.677,3,5
36,31,2491.28,2627.1,-2.67586,5.37027,2.03306,12,128.336,24.3243,-66.1936,13,704.938,-28.3972,-96.9056,3,5
37,31,2501.41,2620.67,5.06598,-3.21495,-0.565484,12,121.698,21.9982,-67.4111,13,711.33,-31.5935,-98.1785,3,5
38,31,2511.55,2614.24,5.06598,-3.21495,-0.565484,12,115.925,21.941,-67.5137,13,717.866,-31.3046,-95.8535,3,5
39,31,2521.68,2607.81,5.06598,-3.21495,-0.565484,12,111.152,25.738,-63.9882,13,724.541,-28.7719,-95.6945,3,5
40,31,2531.81,2601.38,5.06598,-3.21495,-0.565484,12,107.513,24.2391,-64.9031,13,731.352,-29.9184,-96.4078,3,5
41,31,2541.94,2594.95,5.06598,-3.21495,-0.565484,12,105.125,23.481,-65.8564,13,738.296,-32.1226,-96.5641,3,5
42,31,2547.01,2605.83,2.53141,5.43985,1.13525,12,117.124,22.7997,-67.2109,13,727.751,-27.0645,-93.4967,3,5
43,31,2552.07,2616.71,2.53141,5.43985,1.13525,12,129.123,18.6301,-71.016,13,717.252,-26.6508,-94.9959,3,5
44,31,2557.13,2627.59,2.53141,5.43985,1.13525,12,141.122,18.2964,-70.1552,13,706.801,-29.7662,-98.4092,3,5
45,31,2562.19,2638.47,2.53141,5.43985,1.13525,12,153.122,17.357,-71.0297,13,696.4,-21.5256,-94.0495,3,5
46,31,2567.26,2649.35,2.53141,5.43985,1.13525,12,165.121,18.1838,-71.5856,13,686.051,-22.5249,-94.1502,3,5
47,31,2578.29,2654.07,5.51735,2.35773,0.403842,12,174.165,15.4706,-73.3281,13,682.553,-19.229,-95.117,3,5
48,31,2589.33,2658.78,5.51735,2.35773,0.403842,12,183.547,14.5311,-74.0568,13,679.249,-20.6961,-94.8345,3,5
49,31,2600.36,2663.5,5.51735,2.35773,0.403842,12,193.22,13.102,-76.1212,13,676.141,-21.7548,-96.2418,3,5
50,31,2611.4,2668.21,5.51735,2.35773,0.403842,12,203.141,14.5207,-75.0759,13,673.234,-20.5663,-95.6459,3,5
51,31,2622.43,2672.93,5.51735,2.35773,0.403842,12,213.276,13.3095,-75.8685,13,670.528,-19.129,-95.9091,3,5
52,31,2610.7,2675.45,-5.8664,1.25912,2.93017,12,208.831,13.4149,-76.4305,13,665.985,-18.3732,-95.5259,3,5
53,31,2598.96,2677.97,-5.8664,1.25912,2.93017,12,204.993,11.564,-77.3287,13,661.629,-17.3418,-94.6689,3,5
