0.128,96.509142,95.11945568,94.76591306,2.197325679,1.65014273,1.209989451
0.256,97.00234194,95.27129869,95.06465212,2.330821425,1.745490617,1.24005303
0.384,97.04440341,95.81397882,95.11945568,2.655397521,1.858684184,1.253057798
0.512,97.05283503,96.47029486,95.34809075,2.796153615,1.956921051,1.257145299
0.64,97.07475557,96.82747606,95.92805901,2.973782895,1.967401081,1.28512873
0.768,97.10087158,96.89701489,96.34178592,3.096031544,2.111135679,1.313423781
0.896,97.12373561,97.00676199,96.82320855,3.163823707,2.199789434,1.330871216
1.024,97.1900696,97.1178263,96.88502583,3.191284443,2.208899309,1.366790301
1.152,97.20098309,97.12395387,96.89549262,3.234316804,2.227826925,1.380860893
1.28,97.21242879,97.13167761,96.92162798,3.302537273,2.443297961,1.445244932
