Epoch,learning=0.003,learning=0.002,learning=0.001,learning=0.0005,learning=0.0007,,
0,8919953866070,3410034381815,2360000000000,1553617649664,15912376729600,,
1,9671531052190,23248067094773,498000000000,687087680000,2826906890240,,
2,17797814455009,4486856,165000000000,24259942400,425879592960,,
3,1777964836,162041194,1100000000,193960800000,264112272,,
4,1081524841611,52335676384,7.02E-4,41219108,697153000.25,,
5,3249594,1745929,4.5E-4,6000000000.36035,107009235,,
6,0.0121077736839652,1194747561508,3.07E-6,5285539020,0.0011744137154892,,
7,0.00142459943890571,0.00123904203064739,0.00866,0.00949023943394422,0.00203507300466299,,
8,0.0276123210787773,0.0860395804047584,1.89E-4,0.0532796867191791,0.00192117795813828,,
9,0.00689772050827741,0.00959811639040708,0.0225,0.0634281709790229,5.8935402194038E-4,,
10,0.0315477401018142,0.00127216905821114,0.00184,0.0433559790253639,0.00121378316543996,,
11,0.00201137736439704,0.00888779200613498,1.1E-5,0.185697391629219,5.56386774405837E-4,,
12,0.00260551297105848,4.28896339144557E-4,0.00713,0.0449005216360092,0.00736356666311621,,
13,7.99948291387408E-4,0.00946188997477293,0.00453,0.0493725128471851,0.00393798667937517,,
14,0.0079734856262803,0.0661369711160659,,0.041275892406702,9.13603405933827E-4,,
15,0.00683646323159337,2.05227624974213E-4,,0.0390618294477462,0.00116955523844808,,
16,,0.0273174438625574,,0.00200305110774934,,,
17,,8.11466543382266E-6,,0.0580351836979389,,,
18,,0.0251307487487792,,0.0346320793032646,,,
19,,9.73114802036434E-5,,0.00282850326038897,,,
20,,0.020755048841238,,0.0309694111347198,,,
21,,5.0570466555655E-4,,0.204930618405342,,,
22,,0.0121098468080163,,0.0152681814506649,,,
23,,0.00374033395200967,,0.00417234236374497,,,
24,,0.00588136818259954,,0.00949560012668371,,,
25,,,,0.00399790192022919,,,
26,,,,0.00632435735315084,,,
27,,,,0.00261352700181305,,,
28,,,,0.0081346109509468,,,
29,,,,5.3869531257078E-4,,,
30,,,,0.403177291154861,,,
31,,,,0.00185029045678675,,,
32,,,,0.00122444692533463,,,
33,,,,0.00974379386752843,,,
34,,,,0.00285442965105175,,,
35,,,,0.226883500814437,,,
36,,,,0.011626599356532,,,
37,,,,0.194719731807708,,,
38,,,,0.00831769965589046,,,
39,,,,0.00123278726823627,,,
40,,,,0.00244151148945093,,,
41,,,,0.171917989850044,,,
42,,,,0.179550051689147,,,
43,,,,0.17914193868637,,,
44,,,,0.165154919028282,,,
45,,,,0.00122382130939513,,,
46,,,,0.210890173912048,,,
47,,,,0.00374175212346017,,,
48,,,,6.43909210339188E-4,,,
49,,,,0.00245435768738389,,,
