,DQN,DQN,DQN,with CG-DQN,NS3,NS3,NS3,with FTH
,Class 2,Class 1,Class 0,,Class 2,Class 1,Class 0,
10000,2,1,0,0.33,3,2,1,0.5
20000,4,1,1,0.33,5,4,3,0.583
30000,7,2,1,0.3,8,7,5,0.6
40000,9,3,2,0.357,10,7,6,0.565
50000,10,3,2,0.333,12,9,9,0.6
