epoch,Vel 1,Vel 3,Vel 6
0,6654166016,66207373852672,2360000000000
1,146751717376,51139261235200,498000000000
2,8377558016,409297977344,165000000000
3,8678680297472,73325787217920,1100000000
4,337673715712,75494812585164,7.02E-4
5,42859765760,484711137280,4.5E-4
6,80018747162624,5741602144256,3.07E-6
7,8422787907584,118000492544,0.00866
8,7480487706624,93223354368,1.89E-4
9,9250552152064,88650448896,0.0225
10,11666309775360,431516864,0.00184
11,59166864,6698472,1.1E-5
12,6315078320128,67396702208,0.00713
13,995229696000,32105965568,0.00453
14,2513242685440,1801386,
15,286472208384,0.012523952871561,
16,1471009914880,0.0817511454224586,
17,11361361920,9.15819138754159E-4,
18,391686912,0.0126088438555598,
19,271819616,2.5918218307197E-4,
20,0.0115262633189558,0.00208129873499274,
21,0.0938340499997138,0.0671512484550476,
22,0.011864929459989,0.00684908311814069,
23,0.0120023870840668,0.00537111237645149,
24,0.0848359838128089,0.0779631659388542,
25,0.0119868954643607,0.0139899859204888,
26,0.0853365585207939,0.0938759222626686,
27,0.121425800025463,0.0151785351336002,
28,0.0116014210507273,0.116124927997589,
29,0.084379956126213,0.0036867840681225,
30,0.0818275958299636,0.0158541277050971,
31,0.0130038661882281,0.00377913820557296,
32,0.0125344730913639,0.00375320925377309,
33,0.0822934731841087,0.074941448867321,
34,0.0128418821841478,0.0739450380206108,
35,0.135515004396438,0.0163663029670715,
36,0.0129830725491046,0.0176670439541339,
37,0.0130005534738302,0.0167351178824901,
38,0.0829360783100128,0.0167556107044219,
39,0.0126385074108839,0.0168550703674554,
40,0.0125893931835889,0.0736110582947731,
41,0.0824875906109809,0.0166863668709993,
42,0.0124547109007835,0.0167482588440179,
43,0.012887604534626,0.0171669218689203,
44,0.0822040736675262,0.0165397077798843,
45,0.0126669602468609,0.0296579804271459,
46,0.0130417086184024,0.0165415257215499,
47,3.28999041812494E-4,0.0167352799326181,
48,0.0126136215403676,0.0174237489700317,
49,0.0827313587069511,0.0720863118767738,
