run_id,row,col,value
A2_no_thr,qos,throughput,0.6518149353489087
A2_no_thr,qos,qos,0.9999999999999998
A2_no_thr,qos,jain,0.9521907245666016
A2_no_thr,qos,rate_cv,0.6770780717831562
A2_no_thr,qos,load_cv,0.3589426315984928
A2_no_thr,qos,switch_ratio,-0.5856509893269912
A2_no_thr,jain,reward_sum,0.727005668840698
A2_no_thr,jain,throughput,0.6306658717727123
A2_no_thr,jain,qos,0.9521907245666016
A2_no_thr,jain,jain,1.0
A2_no_thr,jain,rate_cv,0.6020694551791281
A2_no_thr,jain,load_cv,0.29504466154643605
A2_no_thr,jain,switch_ratio,-0.6938870769441682
A2_no_thr,rate_cv,reward_sum,0.31000094010387313
A2_no_thr,rate_cv,throughput,0.4993469587003589
A2_no_thr,rate_cv,qos,0.6770780717831562
A2_no_thr,rate_cv,jain,0.6020694551791282
A2_no_thr,rate_cv,rate_cv,0.9999999999999998
A2_no_thr,rate_cv,load_cv,0.43175184731070415
A2_no_thr,rate_cv,switch_ratio,-0.3011757459762693
A2_no_thr,load_cv,reward_sum,-0.04137094325185868
A2_no_thr,load_cv,throughput,0.17269007247489454
A2_no_thr,load_cv,qos,0.3589426315984929
A2_no_thr,load_cv,jain,0.2950446615464361
A2_no_thr,load_cv,rate_cv,0.43175184731070415
A2_no_thr,load_cv,load_cv,1.0
A2_no_thr,load_cv,switch_ratio,0.07214813166628754
A2_no_thr,switch_ratio,reward_sum,-0.6486690344835201
A2_no_thr,switch_ratio,throughput,-0.4934579766618225
A2_no_thr,switch_ratio,qos,-0.5856509893269913
A2_no_thr,switch_ratio,jain,-0.6938870769441682
A2_no_thr,switch_ratio,rate_cv,-0.3011757459762693
A2_no_thr,switch_ratio,load_cv,0.07214813166628756
A2_no_thr,switch_ratio,switch_ratio,1.0
A3_no_load_cap,reward_sum,reward_sum,0.9999999999999999
A3_no_load_cap,reward_sum,throughput,0.7111314939180025
A3_no_load_cap,reward_sum,qos,0.7368436688048722
A3_no_load_cap,reward_sum,jain,0.7418305911496612
A3_no_load_cap,reward_sum,rate_cv,0.3766522872141362
A3_no_load_cap,reward_sum,load_cv,0.35577132045279725
A3_no_load_cap,reward_sum,switch_ratio,-0.683811525582512
A3_no_load_cap,throughput,reward_sum,0.7111314939180025
A3_no_load_cap,throughput,throughput,0.9999999999999999
A3_no_load_cap,throughput,qos,0.5922706291415942
A3_no_load_cap,throughput,jain,0.5715932739916078
A3_no_load_cap,throughput,rate_cv,0.46630115380605164
A3_no_load_cap,throughput,load_cv,0.3792110492413345
A3_no_load_cap,throughput,switch_ratio,-0.5616388084133914
A3_no_load_cap,qos,reward_sum,0.7368436688048722
