Epoch,Cloud,Macro,Small,UAV
1,0.014645976,0.005971667,0.021098522,0.037019179
2,0.013285099,0.005474107,0.02094723,0.035775709
3,0.012553906,0.00521861,0.020875179,0.034473892
4,0.011840252,0.005130616,0.020804704,0.033211322
5,0.011173914,0.005121479,0.020738408,0.031492091
6,0.010469296,0.005122262,0.020673575,0.030768788
7,0.009831855,0.005072421,0.02060877,0.029739145
8,0.009205485,0.005089167,0.020543649,0.028223364
9,0.00865526,0.005091288,0.020478264,0.027368819
10,0.008101249,0.005089138,0.020417911,0.026693383
11,0.00757731,0.005089067,0.020356879,0.026018965
12,0.007165696,0.005056295,0.020298432,0.025072921
13,0.006809559,0.005057113,0.02023983,0.024775887
14,0.00643086,0.005041305,0.020180572,0.024139542
15,0.006086759,0.005037524,0.020122254,0.023805047
16,0.005821256,0.005032448,0.020065873,0.023527029
17,0.0055446,0.005026609,0.020008563,0.023490836
18,0.00526843,0.005020414,0.019953067,0.023348403
19,0.005067915,0.005008857,0.019897598,0.023257231
20,0.004805538,0.005015337,0.019842527,0.022978524
21,0.0045095,0.005006298,0.019786653,0.022867598
22,0.004303133,0.004997401,0.019731133,0.022633215
23,0.00412965,0.004992223,0.019677003,0.022548559
24,0.003955014,0.004992606,0.019622821,0.022544036
25,0.003796826,0.004982035,0.019570123,0.022448345
26,0.003602736,0.004976048,0.019519298,0.022444197
27,0.003451118,0.004971551,0.0194653,0.022356063
28,0.003376011,0.004967137,0.01941075,0.022362903
29,0.003226744,0.004967366,0.019358847,0.02219518
30,0.003134476,0.004969818,0.01930588,0.022183475
31,0.002994577,0.00495737,0.019254689,0.022136651
32,0.002895022,0.004953139,0.019199836,0.022131265
33,0.002795377,0.004949684,0.019146868,0.022119199
34,0.002704005,0.004936074,0.019093415,0.022116958
35,0.002592274,0.004946738,0.019040544,0.022136357
36,0.002520958,0.004944353,0.018987472,0.022123324
37,0.002450225,0.004946545,0.018933462,0.022087474
38,0.00238265,0.004946938,0.018880274,0.022111199
39,0.002334797,0.004914423,0.018830517,0.021962162
40,0.002273284,0.004906704,0.018780542,0.021964366
41,0.002217855,0.004899332,0.018728906,0.021949652
42,0.002185304,0.004872616,0.018678824,0.021908207
43,0.002153367,0.004869479,0.018627637,0.021943929
44,0.002125632,0.004900887,0.018575435,0.021980802
45,0.002084523,0.004908569,0.01852365,0.021909283
46,0.002047853,0.004922853,0.018472219,0.02188526
47,0.002029904,0.00493107,0.018421237,0.021875004
48,0.002001529,0.004779076,0.018370629,0.021926376
49,0.001982713,0.004774147,0.018318122,0.021889386
