run_id,kpi,mean_last_10pct
baseline,reward_sum,2.5471956169693737
baseline,throughput,1394.1822261495786
baseline,qos,0.5613100000000001
baseline,jain,0.7943985441182246
A1_no_qos,reward_sum,2.1972130383075545
A1_no_qos,throughput,926.7544044193286
A1_no_qos,qos,0.4174833333333334
A1_no_qos,jain,0.6411731431438893
A2_no_thr,reward_sum,2.7146225347414674
A2_no_thr,throughput,1325.3587351860474
A2_no_thr,qos,0.5587266666666667
A2_no_thr,jain,0.7825533911288605
A3_no_load_cap,reward_sum,2.6898847141038913
A3_no_load_cap,throughput,1294.3451931696534
A3_no_load_cap,qos,0.8405266666666666
A3_no_load_cap,jain,0.9408549458800081
