order_mode,seed,tail_window,metric,value,unit,plot_panel,source_run,notes
fixed_order,44,last_1000,qos_satisfaction,0.57578,ratio,B_qos,hmadqn_k3_sdm_fixed_order_seed44,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
fixed_order,44,last_1000,jain_fairness,0.7952278588790495,ratio,C_jain,hmadqn_k3_sdm_fixed_order_seed44,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
fixed_order,44,last_1000,switch_ratio,0.42912,ratio,D_switch_ratio,hmadqn_k3_sdm_fixed_order_seed44,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,42,last_10pct,reward_sum,2.5063795024527624,scalar,supp_reward,hmadqn_k3_sdm_random_order_seed42,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,42,last_10pct,throughput_mbps,1230.8324882837599,Mbps,A_throughput,hmadqn_k3_sdm_random_order_seed42,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,42,last_10pct,qos_satisfaction,0.5624866666666667,ratio,B_qos,hmadqn_k3_sdm_random_order_seed42,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,42,last_10pct,jain_fairness,0.7915441682672476,ratio,C_jain,hmadqn_k3_sdm_random_order_seed42,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,42,last_10pct,switch_ratio,0.5862999999999999,ratio,D_switch_ratio,hmadqn_k3_sdm_random_order_seed42,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,42,last_1000,reward_sum,2.5063795024527624,scalar,supp_reward,hmadqn_k3_sdm_random_order_seed42,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,42,last_1000,throughput_mbps,1230.8324882837599,Mbps,A_throughput,hmadqn_k3_sdm_random_order_seed42,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,42,last_1000,qos_satisfaction,0.5624866666666667,ratio,B_qos,hmadqn_k3_sdm_random_order_seed42,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,42,last_1000,jain_fairness,0.7915441682672476,ratio,C_jain,hmadqn_k3_sdm_random_order_seed42,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,42,last_1000,switch_ratio,0.5862999999999999,ratio,D_switch_ratio,hmadqn_k3_sdm_random_order_seed42,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,43,last_10pct,reward_sum,2.519411474540159,scalar,supp_reward,hmadqn_k3_sdm_random_order_seed43,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
