scenario_type,N_UE,distribution,method,seed,tail_window,metric,value,unit,plot_panel,source_run,notes
scale_sweep,100,uniform,greedy_rsrp_capacity,42,last_1000,qos_satisfaction,0.2275,ratio,B_qos_fairness,greedy_rsrp_capacity_scale_uniform_N100_seed42,reward retained for internal/supplemental checks
scale_sweep,100,uniform,greedy_rsrp_capacity,42,last_1000,jain_fairness,0.9061412953897512,ratio,B_qos_fairness,greedy_rsrp_capacity_scale_uniform_N100_seed42,reward retained for internal/supplemental checks
scale_sweep,100,uniform,greedy_rsrp_capacity,42,last_1000,switch_ratio,0.00259,ratio,C_switch_ratio,greedy_rsrp_capacity_scale_uniform_N100_seed42,reward retained for internal/supplemental checks
scale_sweep,100,uniform,hmadqn_k3,42,last_10pct,reward_sum,2.5471956169693737,unitless,supp_reward,hmadqn_k3_scale_uniform_N100_seed42,reward retained for internal/supplemental checks
scale_sweep,100,uniform,hmadqn_k3,42,last_10pct,throughput_mbps,1394.1822261495786,Mbps,A_throughput,hmadqn_k3_scale_uniform_N100_seed42,reward retained for internal/supplemental checks
scale_sweep,100,uniform,hmadqn_k3,42,last_10pct,qos_satisfaction,0.5613100000000001,ratio,B_qos_fairness,hmadqn_k3_scale_uniform_N100_seed42,reward retained for internal/supplemental checks
scale_sweep,100,uniform,hmadqn_k3,42,last_10pct,jain_fairness,0.7943985441182246,ratio,B_qos_fairness,hmadqn_k3_scale_uniform_N100_seed42,reward retained for internal/supplemental checks
scale_sweep,100,uniform,hmadqn_k3,42,last_10pct,switch_ratio,0.42815000000000003,ratio,C_switch_ratio,hmadqn_k3_scale_uniform_N100_seed42,reward retained for internal/supplemental checks
scale_sweep,100,uniform,hmadqn_k3,42,last_1000,reward_sum,2.5471956169693737,unitless,supp_reward,hmadqn_k3_scale_uniform_N100_seed42,reward retained for internal/supplemental checks
scale_sweep,100,uniform,hmadqn_k3,42,last_1000,throughput_mbps,1394.1822261495786,Mbps,A_throughput,hmadqn_k3_scale_uniform_N100_seed42,reward retained for internal/supplemental checks
scale_sweep,100,uniform,hmadqn_k3,42,last_1000,qos_satisfaction,0.5613100000000001,ratio,B_qos_fairness,hmadqn_k3_scale_uniform_N100_seed42,reward retained for internal/supplemental checks
scale_sweep,100,uniform,hmadqn_k3,42,last_1000,jain_fairness,0.7943985441182246,ratio,B_qos_fairness,hmadqn_k3_scale_uniform_N100_seed42,reward retained for internal/supplemental checks
scale_sweep,100,uniform,hmadqn_k3,42,last_1000,switch_ratio,0.42815000000000003,ratio,C_switch_ratio,hmadqn_k3_scale_uniform_N100_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,greedy_rsrp_capacity,42,last_10pct,reward_sum,2.3882232696637082,unitless,supp_reward,greedy_rsrp_capacity_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,greedy_rsrp_capacity,42,last_10pct,throughput_mbps,1181.7808826070498,Mbps,A_throughput,greedy_rsrp_capacity_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,greedy_rsrp_capacity,42,last_10pct,qos_satisfaction,0.2001844444444445,ratio,B_qos_fairness,greedy_rsrp_capacity_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,greedy_rsrp_capacity,42,last_10pct,jain_fairness,0.7955542380658036,ratio,B_qos_fairness,greedy_rsrp_capacity_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,greedy_rsrp_capacity,42,last_10pct,switch_ratio,0.002966666666666667,ratio,C_switch_ratio,greedy_rsrp_capacity_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,greedy_rsrp_capacity,42,last_1000,reward_sum,2.3882232696637082,unitless,supp_reward,greedy_rsrp_capacity_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,greedy_rsrp_capacity,42,last_1000,throughput_mbps,1181.7808826070498,Mbps,A_throughput,greedy_rsrp_capacity_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,greedy_rsrp_capacity,42,last_1000,qos_satisfaction,0.2001844444444445,ratio,B_qos_fairness,greedy_rsrp_capacity_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,greedy_rsrp_capacity,42,last_1000,jain_fairness,0.7955542380658036,ratio,B_qos_fairness,greedy_rsrp_capacity_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,greedy_rsrp_capacity,42,last_1000,switch_ratio,0.002966666666666667,ratio,C_switch_ratio,greedy_rsrp_capacity_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,hmadqn_k3,42,last_10pct,reward_sum,2.4112091990894426,unitless,supp_reward,hmadqn_k3_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,hmadqn_k3,42,last_10pct,throughput_mbps,1293.0597955966355,Mbps,A_throughput,hmadqn_k3_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,hmadqn_k3,42,last_10pct,qos_satisfaction,0.67457030320835,ratio,B_qos_fairness,hmadqn_k3_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,hmadqn_k3,42,last_10pct,jain_fairness,0.8382885090404439,ratio,B_qos_fairness,hmadqn_k3_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,hmadqn_k3,42,last_10pct,switch_ratio,0.2686866666666667,ratio,C_switch_ratio,hmadqn_k3_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,hmadqn_k3,42,last_1000,reward_sum,2.4112091990894426,unitless,supp_reward,hmadqn_k3_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,hmadqn_k3,42,last_1000,throughput_mbps,1293.0597955966355,Mbps,A_throughput,hmadqn_k3_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,hmadqn_k3,42,last_1000,qos_satisfaction,0.67457030320835,ratio,B_qos_fairness,hmadqn_k3_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,hmadqn_k3,42,last_1000,jain_fairness,0.8382885090404439,ratio,B_qos_fairness,hmadqn_k3_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
scale_sweep,150,uniform,hmadqn_k3,42,last_1000,switch_ratio,0.2686866666666667,ratio,C_switch_ratio,hmadqn_k3_scale_uniform_N150_seed42,reward retained for internal/supplemental checks
