K,seed,tail_window,metric,value,unit,plot_panel,source_run,notes
7,42,last_1000,throughput_mbps,1313.3261499764994,Mbps,A_throughput,hmadqn_k_sweep_k7_seed42,K sweep run
7,42,last_1000,qos_satisfaction,0.566412857142857,ratio,B_ratios,hmadqn_k_sweep_k7_seed42,K sweep run
7,42,last_1000,jain_fairness,0.7900763437850027,ratio,B_ratios,hmadqn_k_sweep_k7_seed42,K sweep run
7,42,last_1000,switch_ratio,0.42772000000000004,ratio,B_ratios,hmadqn_k_sweep_k7_seed42,K sweep run
1,,not_applicable,uplink_bytes_per_cloud_epoch,8000,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
1,,not_applicable,downlink_bytes_per_cloud_epoch,400,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
1,,not_applicable,total_bytes_per_cloud_epoch,8400,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
1,,not_applicable,total_bytes_per_slot,8400.0,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
2,,not_applicable,uplink_bytes_per_cloud_epoch,8000,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
2,,not_applicable,downlink_bytes_per_cloud_epoch,400,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
2,,not_applicable,total_bytes_per_cloud_epoch,8400,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
2,,not_applicable,total_bytes_per_slot,4200.0,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
3,,not_applicable,uplink_bytes_per_cloud_epoch,8000,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
3,,not_applicable,downlink_bytes_per_cloud_epoch,400,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
3,,not_applicable,total_bytes_per_cloud_epoch,8400,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
3,,not_applicable,total_bytes_per_slot,2800.0,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
5,,not_applicable,uplink_bytes_per_cloud_epoch,8000,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
5,,not_applicable,downlink_bytes_per_cloud_epoch,400,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
5,,not_applicable,total_bytes_per_cloud_epoch,8400,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
5,,not_applicable,total_bytes_per_slot,1680.0,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
7,,not_applicable,uplink_bytes_per_cloud_epoch,8000,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
7,,not_applicable,downlink_bytes_per_cloud_epoch,400,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
7,,not_applicable,total_bytes_per_cloud_epoch,8400,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
7,,not_applicable,total_bytes_per_slot,1200.0,bytes,C_overhead,signaling_overhead,not reported without explicit slot-duration assumption
